店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,2002,200202,81510,ブールドネージュショコラ,ブールドネージュショコラ,,,0,1,0,,530,,
1,2001,200102,2633701,オランジデニッシュ,オランジデニッシュ,,,0,1,0,,346,,
1,2005,200501,21300000,パン,パン,,,0,1,0,,0,,
1,2004,200403,22600000,こころアラカルト,こころアラカルト,,,0,1,0,,0,,
1,2005,200501,22800000,パン（2）,パン（2）,,,0,1,0,,0,,
1,2005,200501,27700000,パン（4）,パン（4）,,,0,1,0,,0,,
1,2004,200403,409091258,ルバーブジャム,ルバーブジャム,,,0,1,0,,880,,
1,2004,200403,202400000000,パン（こころ）,パン（こころ）,,,0,1,0,,0,,
1,2005,200501,202614000000,古代小麦カンパーニュ(ロワゾー・ブルー),古代小麦カンパーニュ,,,0,1,0,,780,,
1,2004,999999,458240000000,有機マンディアン,有機マンディアン,,,0,1,0,,540,,0
1,2006,200602,1571225869660,バスクチーズモカ,バスクチーズモカ,,,0,1,0,,320,,
1,2005,200501,2000000000000,みかんカンパーニュ(杣),みかんカンパーニュ,,,0,1,0,,480,,
1,2004,200403,2000154000000,九重栗かぼちゃのバスクチーズケーキ,九重栗かぼちゃのバスクチーズ,,,0,1,0,,540,,
1,2005,200501,2002036000000,カンパーニュ・ビオ(弥栄窯),カンパーニュ・ビオ,,,0,1,0,,0,,
1,2005,200501,2002037000000,コンプレ・ビオ(弥栄窯),コンプレ・ビオ,,,0,1,0,,0,,
1,2005,200501,2002038000000,セーグル・エ・リ(弥栄窯),セーグル・エ・リ,,,0,1,0,,0,,
1,2005,200501,2002039000000,ブリオッシュ・ペイザンヌ（弥栄窯）,ブリオッシュ・ペイザンヌ（弥,,,0,1,0,,0,,
1,2005,200501,2002041000000,グランドエポートル(弥栄釜),グランドエポートル(弥栄釜),,,0,1,0,,0,,
1,2005,200501,2002042000000,ぱんなり！,ぱんなり！,,,0,1,0,,0,,
1,2006,200601,2002043000000,タツヒト・サトイ,タツヒト・サトイ,,,0,1,0,,0,,
1,2007,200701,2002046000000,パン(ぱんのちはれ）,パン(ぱんのちはれ）,,,0,1,0,,0,,
1,2004,200401,2002048000000,パン(こころ),パン(こころ),,,0,1,0,,0,,
1,2005,200501,2002049000000,パン,パン,,,0,1,0,,0,,
1,2005,200501,2002054000000,あんバタ,あんバタ,,,0,1,0,,0,,
1,2005,200501,2002057000000,パン・デピス(弥栄窯),パン・デピス(弥栄窯),,,0,1,0,,0,,
1,2005,200501,2002063000000,食パン(オーバッシュクラスト),食パン(オーバッシュクラスト),,,0,1,0,,463,,
1,2005,200501,2002064000000,全粒粉の食パン(オーバッシュクラスト),全粒粉の食パン(オーバッシュ,,,0,1,0,,601,,
1,2002,200203,2002065000000,パン（ブルージュ洛北）,パン（ブルージュ洛北）,,,0,1,0,,0,,
1,2005,200501,2002588000000,天然酵母食パン(ロワゾー・ブルー),米粉パン(ロワゾー・ブルー),,,0,1,0,,0,,
1,2005,200501,2002592000000,ふわりちゃん（ロワゾー・ブルー）,ふわりちゃん（ロワゾー・ブル,,,0,1,0,,0,,
1,2005,200501,2002593000000,ブールドネージュ（ロワゾー・ブルー）,ブールドネージュ(ロワゾー・,,,0,1,0,,550,,
1,2005,200501,2002594000000,古代小麦全粒粉100％（杣）,古代小麦全粒粉100％（杣）,,,0,1,0,,0,,
1,2005,200501,2002595000000,古代小麦全粒粉ラムレーズンと胡桃（杣）,古代小麦全粒粉ラムレーズンと,,,0,1,0,,0,,
1,2005,200501,2002596000000,古代小麦玄米ご飯パン（杣）,古代小麦玄米ご飯パン（杣）,,,0,1,0,,0,,
1,2005,200501,2002597000000,全粒粉ベーグル（杣）,全粒粉ベーグル（杣）,,,0,1,0,,0,,
1,2005,200501,2002598000000,みかんカンパーニュ(杣),みかんカンパーニュ(杣),,,0,1,0,,600,,
1,2005,200501,2002599000000,黒米黒豆ブレッド(ロワゾー・ブルー),黒米黒豆ブレッド(ロワゾー・,,,0,1,0,,777,,
1,2005,200501,2002616000000,古代小麦アインコーンフリュイ,古代小麦アインコーンフリュイ,,,0,1,0,,0,,
1,2005,200501,2002617000000,アインコーンのルバン塩クッキー(ロワゾー・ブルー),アインコーンのルバン塩クッキ,,,0,1,0,,432,,
1,2005,200501,2002618000000,有機アインコーン(農家パンVERUM),有機アインコーン,,,0,1,0,,1650,,
1,2005,200501,2002619000000,有機スペルト(農家パンVERUM),有機スペルト(農家パンVERUM),,,0,1,0,,1650,,
1,2005,200501,2002621000000,有機ライ麦(農家パンVERUM),有機ライ麦(農家パンVERUM),,,0,1,0,,1650,,
1,2005,200501,2003310000000,蜜芋サンド,蜜芋サンド,,,0,1,0,,0,,
1,2004,200401,2003342000000,パン（こころ）,パン（こころ）,,,0,1,0,,0,,
1,2001,200103,2003343000000,山田パン,山田パン,,,0,1,0,,0,,
1,2005,200501,2003346000000,健幸食パン（ぱんなり！）,健幸食パン（ぱんなり！）,,,0,1,0,,0,,
1,2005,200501,2003363000000,健幸食パン スライス （ぱんなり！）,健幸食パン スライス （ぱんな,,,0,1,0,,0,,
1,2005,200501,2003370000000,カレーパン(ぱんなり！),カレーパン(ぱんなり！),,,0,1,0,,0,,
1,2005,200501,2003371000000,あんパン(ぱんなり！),あんパン(ぱんなり！),,,0,1,0,,0,,
1,2005,200501,4512833170509,もっちりやまパン,もっちりやまパン,,,0,1,0,,478,,
1,2005,200501,4520001210063,玄米丸パン,玄米丸パン,,,0,1,0,,648,,
1,2005,200501,4560117171261,プレーンベーグル,プレーンベーグル,,,0,1,0,,170,,
1,2005,200501,4560117171278,シナモンﾚｰｽﾞﾝベーグル,シナモンﾚｰｽﾞﾝベーグル,,,0,1,0,,179,,
1,2005,200501,4560117171285,ほうれん草のベーグル,ほうれん草のベーグル,,,0,1,0,,179,,
1,2005,200501,4560117172534,オレンジベーグル,オレンジベーグル,,,0,1,0,,179,,
1,2005,200501,4560117172671,くるみとメープルの大豆パン,くるみとメープルの大豆パン,,,0,1,0,,179,,
1,2005,200501,4560117172855,オレンジの大豆パン,オレンジの大豆パン,,,0,1,0,,179,,
1,2005,200501,4560117175146,りんごベーグル,りんごベーグル,,,0,1,0,,179,,
1,2005,200501,4560117175702,ショコラオランジュベーグル,ショコラオランジュベーグル,,,0,1,0,,179,,
1,2005,200501,4560117175771,ブルーベリーの大豆パン,ブルーベリーの大豆パン,,,0,1,0,,170,,
1,2005,200501,4560117176143,ベーグル　オレンジ,ベーグル　オレンジ,,,0,1,0,,179,,
1,2005,200501,4560117176235,ベーグル(お茶),ベーグル(お茶),,,0,1,0,,179,,
1,2005,200501,4560117176396,ベーグル(瀬戸内レモン),ベーグル(瀬戸内レモン),,,0,1,0,,179,,
1,2005,200501,4560117177928,ベーグル　ショコラオレンジ,ベーグル　ショコラオレンジ,,,0,1,0,,179,,
1,2005,200501,4560176735473,玄米丸パン(タイナイ),玄米丸パン,,,0,1,0,,320,,
