店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,203,20305,20662791825,琉球島豚　あぐー肩ローススライス,琉球島豚　あぐー肩ローススラ,,,0,1,0,,0,,
1,204,999999,20692943973,東京Xローススライス,東京Xローススライス,,,0,1,0,,0,,
1,204,20402,20695112376,東京Xロイン焼肉,東京Xロイン焼肉,,,0,1,0,,0,,
1,204,20402,20696506242,東京Xヘルシー鉄板焼(ロース),東京Xヘルシー鉄板焼(ロース),,,0,1,0,,0,,
1,204,20409,40645006227,豚ピリ辛みそ焼用,豚ピリ辛みそ焼用,,,0,1,0,,0,,
1,201,20103,204113000000,もち豚ロースしゃぶ,もち豚ロースしゃぶ,,,0,1,0,,0,,
1,201,20101,204114000000,もち豚ロースステーキ,もち豚ロースステーキ,,,0,1,0,,0,,
1,201,20101,204116000000,もち豚ヘレブロック,もち豚ヘレブロック,,,0,1,0,,0,,
1,201,20101,204117000000,もち豚ヘレ一口カツ,もち豚ヘレ一口カツ,,,0,1,0,,0,,
1,201,20101,204120000000,もち豚ヘルシー鉄板焼,もち豚ヘルシー鉄板焼,,,0,1,0,,0,,
1,204,20403,204123000000,豚肩ロースしゃぶしゃぶ用,豚肩ロースしゃぶしゃぶ用,,,0,1,0,,0,,
1,201,20108,204129000000,もち豚ミンチ,もち豚ミンチ,,,0,1,0,,0,,
1,201,20105,204130000000,もち豚ローススライス,もち豚ローススライス,,,0,1,0,,0,,
1,201,20104,204131000000,もち豚煮込み、炒め用,もち豚煮込み、炒め用,,,0,1,0,,0,,
1,201,20101,204301000000,スペアリブ,スペアリブ,,,0,1,0,,0,,
1,201,20109,204305000000,自家製焼き豚ロース,自家製焼き豚ロース,,,0,1,0,,0,,
1,201,20109,204306000000,自家製焼き豚肩ロース,自家製焼き豚肩ロース,,,0,1,0,,0,,
1,201,20109,204307000000,自家製焼き豚モモ,自家製焼き豚モモ,,,0,1,0,,0,,
1,201,20109,204308000000,自家製焼き豚,自家製焼き豚,,,0,1,0,,0,,
1,201,20109,204309000000,自家製焼き豚切り落とし,自家製焼き豚切り落とし,,,0,1,0,,0,,
1,201,20101,204426000000,もち豚ロースステーキ,もち豚ロースステーキ,,,0,1,0,,0,,
1,201,20104,204428000000,もち豚煮込み、炒め用,もち豚煮込み、炒め用,,,0,1,0,,0,,
1,201,20105,204429000000,もち豚ローススライス,もち豚ローススライス,,,0,1,0,,0,,
1,201,20107,204430000000,もち豚肩ロースブロック,もち豚肩ロースブロック,,,0,1,0,,0,,
1,201,20103,204431000000,もち豚肩ロースしゃぶ,もち豚肩ロースしゃぶ,,,0,1,0,,0,,
1,201,20105,204432000000,もち豚バラスライス,もち豚バラスライス,,,0,1,0,,0,,
1,201,20107,204433000000,もち豚バラブロック,もち豚バラブロック,,,0,1,0,,0,,
1,201,20101,204434000000,もち豚ヒレブロック,もち豚ヒレブロック,,,0,1,0,,0,,
1,201,20101,204435000000,もち豚ヒレ一口カツ,もち豚ヒレ一口カツ,,,0,1,0,,0,,
1,201,20105,204436000000,もち豚ロース生姜焼用,もち豚ロース生姜焼用,,,0,1,0,,0,,
1,201,20103,204437000000,もち豚ロースしゃぶ,もち豚ロースしゃぶ,,,0,1,0,,0,,
1,201,20101,204438000000,もち豚ヘルシー鉄板焼き,もち豚ヘルシー鉄板焼き,,,0,1,0,,0,,
1,201,20107,204439000000,もち豚ロースブロック,もち豚ロースブロック,,,0,1,0,,0,,
1,201,20107,204440000000,もち豚モモブロック,もち豚モモブロック,,,0,1,0,,0,,
1,201,20101,204441000000,もち豚肩ロースステーキ,もち豚肩ロースステーキ,,,0,1,0,,0,,
1,201,20103,204442000000,もち豚バラしゃぶ,もち豚バラしゃぶ,,,0,1,0,,0,,
1,201,20101,204443000000,もち豚モモステーキ,もち豚モモステーキ,,,0,1,0,,0,,
1,201,20102,204444000000,もち豚ロイン焼肉,もち豚ロイン焼肉,,,0,1,0,,0,,
1,201,20102,204445000000,もち豚カルビ焼肉,もち豚カルビ焼肉,,,0,1,0,,0,,
1,201,20102,204446000000,もち豚トントロ焼肉,もち豚トントロ焼肉,,,0,1,0,,0,,
1,201,20103,204447000000,もち豚モモしゃぶ,もち豚モモしゃぶ,,,0,1,0,,0,,
1,201,20105,204448000000,もち豚肩ローススライス,もち豚肩ローススライス,,,0,1,0,,0,,
