店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,2210,221008,61,鎌田 つゆ,鎌田 つゆ,,,0,1,0,,292,,
1,2216,221601,21500000,加工食品,加工食品,,,0,1,0,,0,,
1,2212,221206,30547216,マスタード,マスタード,,,0,1,0,,249,,
1,2210,221008,45181832,すりおろしにんにく,すりおろしにんにく,ｽﾘｵﾛｼﾆﾝﾆｸ,,0,1,0,,584,,
1,2211,221101,49192551,ステーキソース,ステーキソース,,,0,1,0,,378,,
1,2203,220312,49204520,富士酢,富士酢,,,0,1,0,,1512,,
1,2203,220308,49204551,ぽん酢,ぽん酢,,,0,1,0,,1080,,
1,2216,221601,49204629,食べる富士酢,食べる富士酢,,,0,1,0,,2376,,
1,2203,220312,49204681,富士　すし酢,富士　すし酢,,,0,1,0,,864,,
1,2212,221206,49292022,ドライカレーペースト　４～５,ドライカレーペースト　４～５,,,0,1,0,,648,,
1,2203,220312,49363807,すのもの酢,すのもの酢,,,0,1,0,,864,,
1,2203,220312,49363821,富士酢,富士酢,,,0,1,0,,756,,
1,2212,221206,49434248,ナンプラー,ナンプラー,,,0,1,0,,280,,
1,2212,221206,49434293,ヌクナム,ヌクナム,,,0,1,0,,280,,
1,2212,221206,49567632,からし　缶,からし　缶,,,0,1,0,,317,,
1,2204,220401,49664119,こいくち醤油,こいくち醤油,,,0,1,0,,1677,,
1,2204,220401,49664126,うすくち醤油,うすくち醤油,,,0,1,0,,1677,,
1,2204,220401,49664140,三年醸造醤油,三年醸造醤油,,,0,1,0,,2358,,
1,2201,220109,49687637,粉糖,粉糖,,,0,1,0,,211,,
1,2201,220109,49687705,白みつ,白みつ,,,0,1,0,,410,,
1,2201,220109,49687798,黒みつ,黒みつ,,,0,1,0,,519,,
1,2210,221008,49712537,根昆布だし,根昆布だし,,,0,1,0,,1296,,
1,2210,221008,49712551,根昆布だし・吟撰,根昆布だし・吟撰,,,0,1,0,,1458,,
1,2212,221203,50197361,　カレーパウダー,カレーパウダー,ｼｴｱｳﾂﾄﾞ ｶﾚ-ﾊﾟｳﾀﾞ-ﾏｲﾙﾄﾞ110,１１０ｇ,0,1,0,,713,,
