店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,1201,120102,4510589401182,無茶々園　飲むゼリー温州みかん,無茶々園　飲むゼリー温州みか,,,0,1,0,,432,,
1,1201,120102,4510589401199,無茶々園　飲むゼリー伊予感,無茶々園　飲むゼリー伊予感,,,0,1,0,,432,,
1,1201,120102,4510589401205,無茶々園飲むゼリー　甘夏,無茶々園飲むゼリー　甘夏,,,0,1,0,,432,,
1,1201,120102,4510589401212,無茶々園飲むゼリー　ジューシーフルーツ,無茶々園飲むゼリー　ジューシ,,,0,1,0,,432,,
1,1201,120101,4515696011316,菊家　ぷりんどら　,菊家　ぷりんどら　,ｷｸﾔ ﾌﾟﾘﾝﾄﾞﾗ 1ｺ,１個,0,1,180,,238,菊家,
1,1201,120103,4520878400055,アトリエ　フォンテンヌブロー,アトリエ　フォンテンヌブロー,ｱﾄﾘｴ ﾌｵﾝﾃﾝﾇﾌﾞﾛｰ 1ｺ,１個,0,1,450,,518,アトリエ・ド・フロマージュ,
1,1202,120202,4520878400086,アトリエ生チーズケーキタルト,アトリエ生チーズケーキタルト,ｱﾄﾘｴ ﾅﾏﾁ-ｽﾞｹ-ｷﾀﾙﾄｼﾖｳ 200G,２００ｇ,0,1,0,,1512,アトリエ・ド・フロマージュ,
1,1202,120201,4520878400109,アトリエ マスカルポーネシュー　３個,アトリエマスカルポーネシュー,ｱﾄﾘｴ･ﾏｽｶﾙﾎﾟ-ﾈｼﾕ- 3ｺ,３個,0,1,0,,1188,アトリエ・ド・フロマージュ,
1,1201,120103,4520878400161,アトリエ・スティックチーズケーキ　１本,アトリエ・スティックチーズケ,ｱﾄﾘｴ･ﾄﾞ･F ｽﾃｲﾂｸﾁ-ｽﾞｹ-ｷ1ﾎﾝ,１本,0,1,259,,346,アトリエ・ド・フロマージュ,
1,1201,120103,4520878400406,アトリエ・スティックチーズケーキ　５本,アトリエ・スティックチーズケ,ｱﾄﾘｴ ｽﾃｲﾂｸﾁ-ｽﾞｹ-ｷ 5ﾎﾝ,５本,0,1,0,,1728,アトリエ・ド・フロマージュ,
1,1202,120304,4520878400864,アトリエ　ティラミス,アトリエ　ティラミス,,,0,1,0,,650,,
1,1201,120101,4522523800012,歴史的珈琲プリン,歴史的珈琲プリン,,,0,1,0,,540,,
1,1201,120101,4522523802221,三ケ日みかん　なまとろりん,三ケ日みかん　なまとろりん,,,0,1,0,,398,,
1,1201,120101,4522523805550,静岡紅ほっぺ　なまとろりん,静岡紅ほっぺ　なまとろりん,,,0,1,0,,398,,
1,1201,120101,4522523806663,クラウンメロン　なまとろりん,クラウンメロン　なまとろりん,,,0,1,0,,424,,
1,1201,120101,4522523811117,黒糖豆乳カカオプリン,黒糖豆乳カカオプリン,,,0,1,0,,435,,
1,1201,120101,4522540710349,駒 贅沢ぷりん　かぼちゃ100ｇ,駒 贅沢ぷりん　かぼちゃ100ｇ,ｺﾏ ｾﾞｲﾀｸﾌﾟﾘﾝｶﾎﾞﾁﾔ100G,１００ｇ,0,1,350,,508,駒ヶ岳牛乳,
1,1201,120101,4522540710363,駒 贅沢駒ヶ岳ぷりん95g,駒 贅沢駒ヶ岳ぷりん95g,ｺﾏ ｾﾞｲﾀｸｺﾏｶﾞﾀｹﾌﾟﾘﾝ95G,９５ｇ,0,1,350,,508,駒ヶ岳牛乳,
1,1201,120101,4522540710387,駒　贅沢ぷりんみるくde苺110g,駒　贅沢ぷりんみるくde苺110g,,,0,1,0,,508,,
1,1202,120202,4523526001000,ユカたん,ユカたん,ﾕｶﾀﾝ,,0,1,130,,336,ニシムラファミリー,
1,1202,120202,4523526005046,ユカたんメロンカスタード,ユカたんメロンカスタード,,,0,1,0,,336,,
1,1202,120202,4523526005237,ユカたん(キャラメルビター),ユカたん(キャラメルビター),,,0,1,0,,435,,
1,1202,120202,4523872212006,りんごのシブースト,りんごのシブースト,ﾛｰﾗﾝﾄﾞｶﾅｻﾞﾜ ﾘﾝｺﾞﾉｼﾌﾞｰｽﾄ,,0,1,0,,1296,ローランド金沢,
1,1202,120202,4524109002308,おこっぺ発酵バターケーキ４個,おこっぺ発酵バターケーキ４個,ｵｺﾂﾍﾟﾊﾂｺｳﾊﾞﾀ-ｹ-ｷ 4ｺ,４個,0,1,0,,1410,ノースプレインファーム,
1,1202,120202,4524109002384,NBＦバタークリームケーキ　１,NBＦバタークリームケーキ　１,NBF ﾊﾞﾀ-ｸﾘ-ﾑｹ-ｷ,１個,0,1,350,,498,ノースプレインファーム,
1,1201,120101,4537545000500,山村ぷりん　９５ｇ,山村ぷりん　９５ｇ,ﾔﾏﾑﾗﾌﾟﾘﾝ 95G,９５ｇ,0,1,380,,438,山村乳業,
1,1202,120202,4539149001082,弁天堂昔ながらココアロール,弁天堂昔ながらココアロール,,,0,1,0,,1020,,
1,1202,120202,4539149003376,弁天堂昔ながらのロールケーキ,弁天堂昔ながらのロールケーキ,ﾍﾞﾝﾃﾝﾄﾞｳﾑｶｼﾅｶﾞﾗﾉﾛ-ﾙｹ-ｷ,１８０ｇ,0,1,850,,985,弁天堂,
