店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,1301,130101,49571820,共進温州みかん100,共進温州みかん100,,,0,1,0,,125,,
1,1301,130101,49571905,共進りんご100,共進りんご100,,,0,1,0,,125,,
1,1301,130103,49878547,野菜一日これ一本超濃縮,野菜一日これ一本超濃縮,,,0,1,0,,122,,
1,1301,130110,2100000504114,ジンジャーエール,ジンジャーエール,,,0,1,0,,150,,0
1,1301,130101,3289196260284,ヴィタモンオーガニックアップルジュース　２００ｍｌ,ヴィタモンオーガニックアップ,ｵ-ｶﾞﾆﾂｸｱﾂﾌﾟﾙｼﾞﾕ-ｽ 200ML,２００ｍｌ,0,1,0,,260,,
1,1301,130101,3289196260383,有機ｵﾚﾝｼﾞ・ｷｬﾛｯﾄ＆レモンジュース,有機ｵﾚﾝｼﾞ・ｷｬﾛｯﾄ＆レモンジュ,,,0,1,0,,260,,
1,1301,130101,3289196260451,ヴィタモン　ＯＧフルーツＭＩＸジュース　２００ｍｌ,ヴィタモン　ＯＧフルーツＭＩ,ｳﾞｲﾀﾓﾝ OGﾌﾙ-ﾂMIXｼﾞﾕ-ｽ 200,２００ｍｌ,0,1,0,,260,,
1,1301,130101,3289196260468,ヴィタモン　ＯＧキッズカクテルジュース　２００ｍｌ,ヴィタモン　ＯＧキッズカクテ,ｳﾞｲﾀﾓﾝ OGｷﾂｽﾞｶｸﾃﾙJ 200ML,２００ｍｌ,0,1,0,,260,,
1,1304,130403,3770001669076,ペピネル　ロゼ泡　７５０ｍｌ,ペピネル　ロゼ泡　７５０ｍｌ,ﾍﾟﾋﾟﾈﾙ ﾛｾﾞｱﾜ 750ML,７５０ｍｌ,0,1,1800,,1642,,
1,1304,130403,3770001669083,ポミヨンノンアルシードル白泡　,ポミヨンノンアルシードル白泡,,７５０ｍｌ,0,1,1800,,1620,,
1,1303,130301,4001513009234,ゲロルシュタイナー,ゲロルシュタイナー,,,0,1,0,,278,,
1,1302,130202,4001513009258,ｹﾞﾛﾙｼｭﾀｲﾅｰ,ｹﾞﾛﾙｼｭﾀｲﾅｰ,,,0,1,0,,162,,
1,1304,130402,4001513009265,ゲロルシュタイナー　ＰＥＴ　５００ｍｌ,ゲロルシュタイナー　ＰＥＴ　,ｹﾞﾛﾙｼﾕﾀｲﾅ- PET 500ML,５００ｍｌ,0,1,150,,162,,
1,1304,130402,4260339815041,ビオアイソ　グレープフルーツ＆レモン,ビオアイソ　グレープフルーツ,,,0,1,0,,259,,
1,1304,130402,4260339815058,ビオアイソ　パッションフルーツ＆オレンジ,ビオアイソ　パッションフルー,,,0,1,0,,259,,
1,1301,130106,4511775001124,四万十紅茶,四万十紅茶,,,0,1,0,,185,,
1,1301,130109,4515244954010,みかんｼﾞｭﾚ伊藤農園,みかんｼﾞｭﾚ伊藤農園,,,0,1,0,,390,,
1,1301,130109,4515244954027,伊藤農園　ジュレドリンクあまなつ,伊藤農園　ジュレドリンクあま,ｲﾄｳﾉｳｴﾝｶﾝﾃﾝJﾄﾞﾘﾝｸｱﾏﾅﾂ150G,１５０ｇ,0,1,0,,390,伊藤農園,
1,1301,130109,4515244954065,きよみｼﾞｭﾚ伊藤農園,きよみｼﾞｭﾚ伊藤農園,,,0,1,0,,390,,
1,1301,130109,4515244954225,不知火ｼﾞｭﾚ伊藤農園,不知火ｼﾞｭﾚ伊藤農園,,,0,1,0,,390,,
1,1301,130103,4516672204821,ニンジンジュース,ニンジンジュース,,,0,1,0,,216,,
1,1301,130103,4516672204838,ﾆﾝｼﾞﾝﾘﾝｺﾞｼﾞｭｰｽ,ﾆﾝｼﾞﾝﾘﾝｺﾞｼﾞｭｰｽ,,,0,1,0,,216,,
1,1301,130103,4516672204845,ﾄﾏﾄｼﾞｭｰｽ,ﾄﾏﾄｼﾞｭｰｽ,,,0,1,0,,291,,
1,1301,130101,4516672204937,ﾊﾟｲﾝｼﾞｭｰｽ,ﾊﾟｲﾝｼﾞｭｰｽ,,,0,1,0,,270,,
1,1301,130101,4516672205019,ｺｸｻﾝﾔｻｲｼﾞｭｰｽ,ｺｸｻﾝﾔｻｲｼﾞｭｰｽ,,,0,1,0,,270,,
1,1304,130403,4520655009013,日光酒蔵仕込み水サイダー,日光酒蔵仕込み水サイダー,,,0,1,0,,248,,
1,1302,130201,4525765104016,日田天領水2&#8556;,ヒタテンリョウスイ,,,0,1,0,,430,,
1,1302,130202,4525765105013,てんりょう水 500,てんりょう水 500,,,0,1,0,,190,,
1,1302,130204,4525765106010,日田天領水350ml,日田天領水350ml,,,0,1,0,,150,,
1,1303,130302,4525765112011,日田天領水のお茶,日田天領水のお茶,,,0,1,0,,175,,
1,1301,130107,4525882001298,熊野　赤しそドリンク,熊野　赤しそドリンク,,,0,1,0,,1361,,
1,1304,130403,4525882001441,熊野しそサイダー瓶,熊野しそサイダー便,ｸﾏﾉｼｿｻｲﾀﾞｰ ﾋﾞﾝ ,２００ｍｌ,0,1,239,,380,熊野鼓動,
1,1304,130403,4525882001458,熊野サイダーうめみかん瓶,熊野サイダー,ｹｲﾐｰ ｸﾏﾉｻｲﾀﾞｰｳﾒﾐｶﾝ 200Ml,２００ｍｌ,0,1,239,,311,熊野鼓動,
1,1304,130403,4525882002318,熊野じゃばらサイダー瓶,熊野じゃばらサイダー瓶　,ｸﾏﾉｼﾞﾔﾊﾞﾗｻｲﾀﾞ-,２００ｍｌ,0,1,0,,430,熊野鼓動,
1,1301,130110,4526248577921,糀の甘酒,糀の甘酒,,,0,1,0,,730,,
1,1305,130504,4533706160052,スズメバチウオ－タ－,スズメバチウオ－タ－,,,0,1,0,,836,,
1,1304,130403,4537221214689,信州杏サイダー,信州杏サイダー　２４５ｍｌ,ﾄﾓﾏｽ ｼﾝｼﾕｳｱﾝｽﾞｻｲﾀﾞ- 245ML,２４５ｍｌ,0,1,200,,216,マルシンフーズ,
1,1301,130101,4537941060313,ほっとひといきゆずごこち　２８０ｍｌ,ほっとひといきゆずごこち　,ｻﾒｳﾗ ﾎﾂﾄﾋﾄｲｷﾕｽﾞｺﾞｺﾁ 280ML,２８０ｍｌ,0,1,150,,174,さめうらフーズ,
1,1301,130101,4537941201617,すっきりさわやかしそごこち　２８０ｍｌ,すっきりさわやかしそごこち　,ｻﾒｳﾗ ｽﾂｷﾘｻﾜﾔｶｼｿｺﾞｺﾁ 280ML,２８０ｍｌ,0,1,150,,174,さめうらフーズ,
1,1301,130107,4544516421301,青梅のﾄﾞﾘﾝｸ,青梅のﾄﾞﾘﾝｸ,,,0,1,0,,1242,,
1,1301,130107,4546943100118,濃縮しそｼﾞｭｰｽ,濃縮しそｼﾞｭｰｽ,,,0,1,0,,1368,,
1,1301,130102,4547014002379,ジャパンソルトブラッドオレンジジュース１Ｌ,ジャパンソルトブラッドオレン,ｼﾔﾊﾟﾝS ﾌﾞﾗﾂﾄﾞｵﾚﾝｼﾞｼﾞﾕｰｽ1L,１Ｌ,0,1,0,,1080,ジャパンソルト,
1,1303,130302,4560148651404,傳ちゃんの煎茶,傳ちゃんの煎茶,,,0,1,0,,195,,
1,1303,130302,4560169750155,Lecafe　緑茶,Lecafe　緑茶,,,0,1,0,,152,,
1,1303,130302,4560169750179,茶香坊烏龍茶,茶香坊烏龍茶,,,0,1,0,,152,,
1,1301,130106,4560169750230,Lecafe　ジャスミン茶,Lecafe　ジャスミン茶,,,0,1,0,,152,,
1,1303,130302,4560169750414,Lecafe　焙じ茶,Lecafe　焙じ茶,,,0,1,0,,152,,
1,1303,130302,4560169750704,Lecafe　宇治茶,Lecafe　宇治茶,,,0,1,0,,152,,
1,1301,130101,4560203005005,宮崎ベジフルーツスムージー,宮崎ベジフルーツスムージー,,,0,1,0,,238,,
1,1302,130202,4560260574285,琉球Ｆ　アクティブチャコールウォーター,琉球Ｆ　アクティブチャコール,ｱｸﾃｲﾌﾞﾁﾔｺ-ﾙｳｵ-ﾀ- 490ML,４９０ｍｌ,0,1,0,,350,琉球フロント沖縄,
1,1301,130110,4560293250477,糀・しるこ,糀・しるこ,,,0,1,0,,1296,,
1,1306,130601,4560293251276,糀プレーン,糀プレーン,,,0,1,0,,864,,
1,1306,130601,4560293255267,糀&#8226;モンブラン,糀&#8226;モンブラン,,,0,1,0,,1620,,
