店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,1701,170106,21200000,たまご,たまご,,,0,1,0,,0,,
1,1701,170102,452089000000,ちどりたまご,ちどりたまご,ﾁﾄﾞﾘﾀﾏｺﾞ,,0,1,0,,486,,
1,1701,170102,2100000504251,みどりショップ6Ｐ,みどりショップ6Ｐ,,,0,1,0,,470,,0
1,1701,170101,2100000529254,地たまご10Ｐ,地たまご10Ｐ,,,0,1,0,,435,,0
1,1701,170102,4517976021404,やまぶき　６個卵,やまぶき　６個卵,ｶﾝﾅﾝ ﾀﾝﾊﾞｵｸｻﾄﾉﾀﾏｺﾞﾔﾏﾌﾞｷ6ｺ,６個,0,1,0,,483,カンナンファーム,
1,1701,170101,4520893000025,なまたまグー10玉,なまたまグー10玉,,,0,1,0,,378,,0
1,1701,170102,4520893002692,ちどりたまご,ちどりたまご,,,0,1,0,,594,,
1,1701,170102,4529645003246,葉酸瑞穂6個入,葉酸瑞穂6個入,,,0,1,0,,290,,
1,1701,170106,4529645003802,葉酸温泉卵3個入,葉酸温泉卵3個入,,,0,1,0,,225,,
1,1701,170102,4529645003925,くろ丹波たまご６Ｐ,くろ丹波たまご６Ｐ,,,0,1,0,,258,,
1,1701,170103,4529645004229,京及雅,京及雅,ｷｮｳﾉﾐﾔﾋﾞ,,0,1,0,,345,,0
1,1701,170102,4529645004502,やどりぎ平飼い卵,やどりぎ平飼い卵,,,0,1,0,,468,,0
1,1701,170102,4529645004526,やどりき,やどりき,,,0,1,0,,468,,
1,1701,170102,4538151000045,名古屋コーチン,名古屋コーチン,,,0,1,0,,378,,
1,1701,170101,4538151297025,康卵　10玉,康卵　10玉,,,0,1,0,,485,,0
1,1701,170102,4571225860046,みどりショップ玉子,みどりショップ玉子,,,0,1,0,,470,,0
1,1701,170102,4580225354417,うちゅうのたまご,うちゅうのたまご,ｳﾁｭｳﾉﾀﾏｺﾞ,,0,1,0,,1422,,
1,1701,170106,4580225354738,燻製たまご,燻製たまご,,,0,1,0,,756,,
1,1701,170102,4580451300011,康卵６P,康卵６P,,,0,1,0,,395,,
1,1701,170102,4582222800775,やまぶき　６個入,やまぶき　６個入,,,0,1,0,,483,,0
1,1701,170106,4582799764111,温泉玉子,温泉玉子,,,0,1,0,,183,,0
1,1701,170103,4589423190025,平飼いたまご4玉,平飼いたまご4玉,,,0,1,0,,308,,0
1,1701,170102,4589423190193,くろ丹波,くろ丹波,,,0,1,0,,375,,0
1,1701,170106,4589423190452,温泉卵３個入,温泉卵３個入,,,0,1,0,,183,,
1,1701,170102,4595556278042,SERIF 平飼い有精卵,SERIF 平飼い有精卵,,,0,1,0,,648,,
1,1701,170105,4710772050023,台湾ピータン ６個,台湾ピータン ６個,,,0,1,0,,1200,,0
1,1701,170105,4717293900004,松花ピータン(バラ),松花ピータン(バラ),,,0,1,0,,200,,0
1,1701,170102,4901995065417,島根のえごま玉子,島根のえごま玉子,,,0,1,0,,440,,0
1,1701,170102,4901995065431,島根のこめたまご,島根のこめたまご,,,0,1,0,,308,,
1,1701,170104,4908442000113,うずら卵　１０Ｐ,うずら卵　１０Ｐ,,,0,1,0,,170,,0
1,1701,170102,4909348011234,セイアグリー　健康卵,セイアグリー　健康卵,,,0,1,0,,300,,0
1,1701,170106,4944501705445,飛騨牛しぐれ煮のタレで煮込んだ煮卵,飛騨牛しぐれ煮の煮卵,,,0,1,0,,842,,
1,1701,170106,4948580000002,真卵　ネット入り,真卵　ネット入り,,,0,1,0,,315,,0
1,1701,170102,4948580001009,真卵　６個入,真卵　６個入,,,0,1,0,,270,,0
1,1701,170106,4953670010502,飛騨牛しぐれ煮のタレで煮込んだ煮卵,飛騨牛しぐれ煮のタレで煮込ん,,,0,1,0,,743,,0
1,1701,170102,4969060200019,ゆずたま　６コ,ゆずたま　６コ,ﾕｽﾞﾀﾏ 6ｺ,６コ,0,1,0,,485,ヤマサキ農場,
1,1701,170106,4993720262123,温泉玉子　３個,温泉玉子　３個,,３個,0,1,0,,153,南部フーズ,
1,1701,170106,4993720262871,とっぴんぐ玉子４Ｐ,とっぴんぐ玉子４Ｐ,,,0,1,0,,170,,
1,1701,170106,4993720263243,葉酸温泉たまご,葉酸温泉たまご,,,0,1,0,,235,,0
1,1701,170102,4993720269009,平飼い卵,平飼い卵,,,0,1,0,,420,,0
