店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,709,70901,495,釜揚げしらす,釜揚げしらす,,,0,1,0,,398,,
1,709,70901,20000000,月日貝オリ－ブ漬け,月日貝オリ－ブ漬け,,,0,1,0,,980,,
1,710,71001,20500000,塩干,塩干,,,0,1,0,,0,,
1,702,70205,48255554,さばの煮干し,さばの煮干し,,,0,1,0,,0,,
1,704,70405,49197211,鮭フレーク,鮭フレーク,,,0,1,0,,594,,
1,707,70704,49223019,しいの　かつを酒盗ミニ　４５ｇ,しいの　かつを酒盗ミニ　４５,ｼｲﾉ ｶﾂｵｼﾕﾄｳﾐﾆ 45G,４５ｇ,0,1,0,,537,しいの食品,
1,702,70205,29079506800,鯖のへしこの押しずし,鯖へしこ押しずし,,,0,1,0,,0,,
1,709,70901,45714820018,あかもく,あかもく,,,0,1,0,,598,,
1,702,70205,97834255553,さばの煮干し,さばの煮干し,,,0,1,0,,482,,
1,704,70403,200051000000,紅鮭焼物　甘口,紅鮭焼物　甘口,,,0,1,0,,0,,
1,703,70302,200534000000,さわら塩糀漬け,さわら塩糀漬け,,,0,1,0,,0,,
1,706,70601,200548000000,富山湾ほたるいか,富山湾ほたるいか,,,0,1,0,,0,,
1,709,70901,200569000000,シ－ボ－ンあじ干物,シ－ボ－ンあじ干物,,,0,1,0,,0,,
1,709,70903,200574000000,つみれ詰め合わせ,つみれ詰め合わせ,,,0,1,0,,0,,
1,709,70901,200593000000,かます笹漬け,かます笹漬け,,,0,1,0,,0,,
1,709,70903,200748000000,湾内ホタルイカ,湾内ホタルイカ,,,0,1,0,,0,,
1,702,70201,205033000000,うるめいわし,うるめいわし,,,0,1,0,,0,,
1,709,70901,205041000000,きびなご,きびなご,,,0,1,0,,0,,
1,707,70702,205051000000,焼するめ,焼するめ,,,0,1,0,,0,,
1,706,70602,205075000000,しんこ,しんこ,,,0,1,0,,0,,
