店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,101,999999,606006,黒毛和牛　焼きしゃぶ,黒毛和牛　焼きしゃぶ,ｸﾛｹﾞﾜｷﾞｭｳ ﾔｷｼｬﾌﾞ,,0,1,0,,0,,0
1,107,10701,20600000,精肉,精肉,,,0,1,0,,0,,
1,107,10701,22900000,精肉対面,精肉対面,,,0,1,0,,0,,
1,101,10103,1368068473,焼しゃぶ,焼しゃぶ,,,0,1,0,,0,,
1,101,10101,1425083562,サーロインステーキ,サーロインステーキ,,,0,1,0,,0,,
1,101,10101,1436417691,黒毛和牛　内ヒラステーキ(上モモ),黒毛和牛　内ヒラステーキ(上,,,0,1,0,,0,,
1,102,10210,20570809308,米沢牛　自家製しぐれ煮,米沢牛　自家製しぐれ煮,,,0,1,0,,0,,
1,102,10202,20624592828,銘柄牛　お勧め焼肉　へレトロ,銘柄牛　お勧め焼肉　へレトロ,,,0,1,0,,0,,
1,102,10202,20657217187,大和牝牛　特選鉄板焼用,大和牝牛　特選鉄板焼用,,,0,1,0,,0,,
1,102,10210,26570809300,米沢牛　自家製しぐれ煮,米沢牛　自家製しぐれ煮,,,0,1,0,,0,,
1,101,10102,40607400957,黒毛和牛　ミスジ焼肉用,黒毛和牛　ミスジ焼肉用,,,0,1,0,,0,,
1,101,10101,40607900136,黒毛和牛　ミスジステーキ用,黒毛和牛　ミスジステーキ用,,,0,1,0,,0,,
1,101,10103,106004119400,特選すき焼き用ロース,特選すき焼き用ロース,,,0,1,0,,0,,
1,102,10202,200656000000,米沢牛味付焼肉用,米沢牛味付焼肉用,ﾖﾈｻﾞﾜｱｼﾞﾂｹ,,0,1,0,,0,,
1,101,10102,202111000000,中落ちカルビ,中落ちカルビ,,,0,1,0,,0,,
1,104,10402,204050000000,国産　ホソ　(タレづけ),国産　ホソ　(タレづけ),,,0,1,0,,0,,
1,101,10101,204112000000,ステーキ食べ比べセット,ステーキ食べ比べセット,,,0,1,0,,0,,
1,106,10602,206000000000,箱代,箱代,,,0,1,0,,0,,
1,101,10103,206001000000,黒毛和牛すきやき用ロース,黒毛和牛すきやき用ロース,,,0,1,0,,0,,
1,101,10103,206002000000,黒毛和牛すきやき用ロースモモ,黒毛和牛すきやき用ロースモモ,,,0,1,0,,0,,
1,101,10103,206005000000,黒毛和牛すきやき用バラ,黒毛和牛すきやき用バラ,,,0,1,0,,0,,
1,101,10111,206007000000,赤身切落し,赤身切落し,,,0,1,0,,0,,
1,101,10104,206011000000,黒毛和牛しゃぶしゃぶ用ロース,黒毛和牛しゃぶしゃぶ用ロース,,,0,1,0,,0,,
1,101,10105,206012000000,黒毛和牛すきしゃぶ用ロース,黒毛和牛すきしゃぶ用ロース,,,0,1,0,,0,,
1,101,10101,206013000000,黒毛和牛リブロースステーキ,黒毛和牛リブロースステーキ,,,0,1,0,,0,,
1,101,10101,206014000000,黒毛和牛サーロインステーキ,黒毛和牛サーロインステーキ,,,0,1,0,,0,,
1,101,10111,206015000000,和牛ロース焼肉,和牛ロース焼肉,,,0,1,0,,0,,
1,101,10101,206016000000,黒毛和牛ｻｰﾛｲﾝｽﾃｰｷ ﾊｰﾌ,黒毛和牛ｻｰﾛｲﾝｽﾃｰｷ ﾊｰﾌ,,,0,1,0,,0,,
1,101,10101,206017000000,黒毛和牛ｻｲｺﾛｽﾃ-ｷ,黒毛和牛ｻｲｺﾛｽﾃ-ｷ,,,0,1,0,,0,,
1,101,10101,206018000000,上ヒレステーキ,上ヒレステーキ,,,0,1,0,,0,,
1,101,10101,206019000000,ラムシンステーキ,ラムシンステーキ,,,0,1,0,,0,,
1,101,10101,206021000000,黒毛和牛　カイノミステーキ,黒毛和牛　カイノミステーキ,,,0,1,0,,0,,
1,101,10108,206022000000,黒毛和牛イチボステーキ,クロゲワギュウイチボステーキ,,,0,1,0,,0,,
1,102,10203,206023000000,銘柄牛　モモすき焼き用,銘柄牛　モモすき焼き用,,,0,1,0,,0,,
1,102,10203,206024000000,銘柄牛　すき焼きしゃぶ用,銘柄牛　すき焼きしゃぶ用,,,0,1,0,,0,,
1,102,10205,206025000000,銘柄牛　モモ切り落とし,銘柄牛　モモ切り落とし,,,0,1,0,,0,,
1,102,10205,206026000000,銘柄牛　煮込み・炒め用,銘柄牛　煮込み・炒め用,,,0,1,0,,0,,
1,101,10110,206027000000,自家製ハンバーグ,自家製ハンバーグ,,,0,1,0,,0,,
1,102,10201,206028000000,銘柄牛　ランプステーキ,銘柄牛　ランプステーキ,,,0,1,0,,0,,
1,102,10202,206029000000,銘柄牛　上モモ焼肉用,銘柄牛　上モモ焼肉用,,,0,1,0,,0,,
1,102,10207,206032000000,銘柄牛　カレー・シチュー用,銘柄牛　カレー・シチュー用,,,0,1,0,,0,,
1,102,10209,206034000000,銘柄牛　特選ミンチ,銘柄牛　特選ミンチ,,,0,1,0,,0,,
1,102,10204,206035000000,銘柄牛　モモしゃぶしゃぶ用,銘柄牛　モモしゃぶしゃぶ用,,,0,1,0,,0,,
1,102,10202,206037000000,本日のおすすめ焼肉,本日のおすすめ焼肉,,,0,1,0,,0,,
1,101,10102,206039000000,黒毛和牛焼肉用切り落とし,黒毛和牛焼肉用切り落とし,,,0,1,0,,0,,
1,101,10111,206040000000,牛すじ肉,すじ肉,,,0,1,0,,0,,
1,101,10102,206041000000,和牛はらすハラミ焼肉用,和牛はらすハラミ焼肉用,,,0,1,0,,0,,
1,101,10110,206042000000,おでん用すじ串,おでん用すじ串,,,0,1,0,,0,,
1,101,10110,206043000000,黒毛和牛　ボイルスジ,黒毛和牛　ボイルスジ,,,0,1,0,,0,,
1,101,10101,206046000000,黒毛和牛　ヒウチステーキ,黒毛和牛　ヒウチステーキ,,,0,1,0,,0,,
1,101,10111,206047000000,黒毛和牛　テール,黒毛和牛　テール,,,0,1,0,,0,,
1,104,10402,206049000000,ホソ(焼肉・鍋用),ホソ(焼肉・鍋用),,,0,1,0,,0,,
1,104,10402,206050000000,ホソ(タレ付け),ホソ(タレ付け),,,0,1,0,,0,,
1,101,10102,206051000000,黒毛江和牛　本日のお勧め焼肉用イチボ,黒毛江和牛　本日のお勧め焼肉,,,0,1,0,,0,,
1,101,10102,206052000000,黒毛江和牛　本日のお勧め焼肉用へレトロ,黒毛江和牛　本日のお勧め焼肉,,,0,1,0,,0,,
1,101,10102,206053000000,黒毛江和牛　本日のお勧め焼肉用ヒウチ,黒毛江和牛　本日のお勧め焼肉,,,0,1,0,,0,,
1,101,10102,206054000000,黒毛江和牛　本日のお勧め焼肉用カイノミ,黒毛江和牛　本日のお勧め焼肉,,,0,1,0,,0,,
1,101,10102,206055000000,黒毛江和牛　本日のお勧め焼肉用ササノミ,黒毛江和牛　本日のお勧め焼肉,,,0,1,0,,0,,
1,101,10102,206056000000,黒毛江和牛　本日のお勧め焼肉用カブリ,黒毛江和牛　本日のお勧め焼肉,,,0,1,0,,0,,
1,101,10102,206057000000,黒毛江和牛　本日のお勧め焼肉用ハトチマキ,黒毛江和牛　本日のお勧め焼肉,,,0,1,0,,0,,
1,101,10102,206058000000,黒毛江和牛　本日のお勧め焼肉用センボン,黒毛江和牛　本日のお勧め焼肉,,,0,1,0,,0,,
1,101,10102,206059000000,黒毛江和牛　本日のお勧め焼肉用ハラス,黒毛江和牛　本日のお勧め焼肉,,,0,1,0,,0,,
1,101,10102,206060000000,黒毛和牛ロース焼肉用,黒毛和牛ロース焼肉用,,,0,1,0,,0,,
1,101,10111,206100000000,オーダーカット,オーダーカット,,,0,1,0,,0,,
