店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,3301,330102,21600000,セツト商品,セツト商品,,,0,1,0,,0,,
1,3301,330101,22200000,催事イベント,催事イベント,,,0,1,0,,0,,
1,3301,330101,22500000,催事,催事,,,0,1,0,,0,,
1,3304,330401,200120000000,アレンジフラワー,アレンジフラワー,,,0,1,0,,0,,
1,3304,330401,200121000000,アレンジ袋,アレンジ袋,,,0,1,0,,0,,
1,3303,330301,201090000000,オリジナル,オリジナル,,,0,1,0,,0,,
1,3301,330101,875280000077,名代おめん春のお弁当,名代おめん春のお弁当,,,0,1,0,,2808,,
1,3301,330101,875280000121,名物おめん,名物おめん,,,0,1,0,,1380,,
1,3301,330101,875280000213,おめん　GW行楽弁当,おめん　GW行楽弁当,,,0,1,0,,2160,,
1,3301,330101,875280000459,赤山椒うどん冷しおめん,赤山椒うどん冷しおめん,,,0,1,0,,1980,,
1,3301,330101,875280000466,おめん　特製すだちうどん弁当,おめん　特製すだちうどん弁当,,,0,1,0,,2780,,
1,3301,330101,875280000527,おめん　秋のお弁当,おめん　秋のお弁当,,,0,1,0,,2600,,
1,3301,330101,875280000572,おめん　GWスペシャル行楽弁当,おめん　GWスペシャル行楽弁当,,２本Ａ,0,1,1353,,2160,,
1,3304,330401,2000120000000,アレンジフラワー,アレンジフラワー,,,3,1,0,,2500,,
1,3304,330401,2000121000000,アレンジフラワー袋,アレンジフラワー袋,,,3,1,0,,100,,
1,3301,330101,2012345000000,天平フーズ　キムチ,天平フーズ　キムチ,,,0,1,0,,0,,
1,3304,330401,2100000500260,アレンジフラワー,アレンジフラワー,,,3,1,0,,2500,,
1,3304,330401,2100000528462,アレンジフラワー　袋,アレンジフラワー　袋,,,3,1,0,,100,,
1,3301,330101,4531546000019,中華惣菜,中華惣菜,,,0,1,0,,399,,
1,3301,330101,4531546000026,中華惣菜,中華惣菜,,,0,1,0,,1198,,
1,3301,330101,4531546000033,中華惣菜,中華惣菜,,,0,1,0,,1998,,
1,3301,330101,4531546800008,中華惣菜,中華惣菜,,,0,1,0,,864,,
1,3301,330101,4531546810007,中華惣菜,中華惣菜,,,0,1,0,,1296,,
1,3301,330101,4531546820006,中華惣菜,中華惣菜,,,0,1,0,,1728,,
1,3301,330101,4531546830005,中華惣菜,中華惣菜,,,0,1,0,,2592,,
1,3301,330101,4531546910011,中華点心,中華点心,,,0,1,0,,324,,
1,3301,330101,4531546910028,中華惣菜,中華惣菜,,,0,1,0,,486,,
1,3301,330101,4531546910035,中華点心,中華点心,,,0,1,0,,648,,
1,3301,330101,4531546910134,中華惣菜,中華惣菜,,,0,1,0,,756,,
1,3301,330101,4531546910141,中華惣菜,中華惣菜,,,0,1,0,,777,,
1,3301,330101,4531546910158,中華点心,中華点心,,,0,1,0,,972,,
1,3301,330101,4531546910172,中華惣菜,中華惣菜,,,0,1,0,,1134,,
1,3301,330101,4531546910448,中華惣菜,中華惣菜,,,0,1,0,,1512,,
1,3301,330101,4531546910462,中華惣菜,中華惣菜,,,0,1,0,,1728,,
1,3301,330101,4531546910486,中華惣菜,中華惣菜,,,0,1,0,,2268,,
1,3301,330101,4531546910714,中華惣菜,中華惣菜,,,0,1,0,,540,,
1,3301,330101,4531546910776,中華惣菜,中華惣菜,,,0,1,0,,1080,,
1,3301,330101,4531546910882,中華点心,中華点心,,,0,1,0,,1620,,
1,3301,330101,4531546910967,中華点心,中華点心,,,0,1,0,,1944,,
1,3301,330101,4531546911025,中華惣菜,中華惣菜,,,0,1,0,,2592,,
1,3301,330101,4531546911117,中華惣菜,中華惣菜,,,0,1,0,,1556,,0
