店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,405,999999,20800000,加工肉(催事),加工肉,ｶｺｳﾆｸｻｲｼﾞ,,0,1,0,,300,,
1,404,40401,28500605495,リンデンバーム　ソーセージ,リンデンバーム　ソーセージ,,,0,1,0,,0,,
1,404,40404,206030000000,お子様バラエティー,お子様バラエティー,,,0,1,0,,0,,
1,405,999999,206139000000,鶏のおつまみアラカルト,鶏のおつまみアラカルト,ﾄﾘﾉｵﾂﾏﾐｱﾗｶﾙﾄ,,0,1,0,,985,,
1,406,40603,206159000000,やまと豚　肉春巻,やまと豚　肉春巻,,,0,1,0,,0,,
1,406,40602,206169000000,ルーローハン,ルーローハン,ﾙｰﾛｰﾊﾝ,,0,1,0,,968,,
1,405,999999,206170000000,ロティサリーチキン,ロティサリーチキン,ﾛﾃｨｻﾘｰﾁｷﾝ,,0,1,0,,4800,,
1,409,40901,206171000000,薬膳スープ,薬膳スープ,ﾔｸｾﾞﾝｽｰﾌﾟ,,0,1,0,,780,,
1,406,40602,206172000000,京都ポークハンバーグネギ塩弁当,京都ポークハンバーグネギ塩弁,,,0,1,0,,998,,
1,406,40602,206173000000,京都牛100%ハンバーグ,京都牛100%ハンバーグ,ｷｮｳﾄﾊﾝﾊﾞｰｸﾞ,,0,1,0,,1238,,
1,406,40602,206176000000,牛すじカレー,牛すじカレー,,,0,1,0,,798,,
1,404,40401,206178000000,弓豚あらびきソーセージ,弓豚あらびきソーセージ,,,0,1,0,,0,,
1,406,40602,206180000000,ジャークチキン＆ジャンバラヤ,ジャークチキン＆ジャンバラヤ,,,0,1,0,,1380,,
1,403,40304,206182000000,弓豚ベーコンブロック,弓豚ベーコンブロック,,,0,1,0,,0,,
1,405,40513,206323000000,付いてる値段でお願いします,付いてる値段でお願いします,,,0,1,0,,0,,
1,405,999999,206324000000,原価販売,原価販売,ｹﾞﾝｶﾊﾝﾊﾞｲ,,0,1,0,,0,,
1,403,40302,206352000000,ベーコン,ベーコン,,,0,1,0,,0,,
1,405,40507,206401000000,京都ポークハンバーグデミ,京都ポークハンバーグデミ,ｷｮｳﾄﾎﾟｰｸﾎﾟｰｸﾊﾝﾊﾞｰｸﾞﾃﾞﾐ,,0,1,0,,540,,
1,405,40507,206402000000,京都ポークハンバーグネギ,京都ポークハンバーグネギ,ｷｮｳﾄﾎﾟｰｸﾎﾟｰｸﾊﾝﾊﾞｰｸﾞﾈｷﾞ,,0,1,0,,540,,
1,405,40507,206403000000,京都牛ハンバーグ和風,京都牛ハンバーグ和風,,,0,1,0,,1080,,
1,406,999999,206480000000,チゲスープ,チゲスープ,,,0,1,0,,540,,
1,406,999999,206481000000,牛すじのスープ,牛すじのスープ,,,0,1,0,,540,,
1,406,999999,206482000000,テールスープ,テールスープ,,,0,1,0,,972,,
1,406,40602,206565000000,米沢牛カレー,米沢牛カレー,ﾖﾈｻﾞﾜｶﾚｰ,,0,1,0,,1200,,
1,406,40601,206566000000,米沢牛丼,米沢牛丼,ﾖﾈｻﾞﾜｷﾞｭｳﾄﾞﾝ,,0,1,0,,1380,,
1,409,40901,206814000000,本気のもつ鍋スープ,本気のもつ鍋スープ,,,0,1,0,,925,,
1,406,40602,206902000000,ジャンボンペルシェ,ジャンボンペルシェ,,,0,1,0,,0,,
1,406,40602,206903000000,テリーヌ,テリーヌ,,,0,1,0,,0,,
1,405,40511,206911000000,テリーヌダンディーユ,テリーヌダンディーユ,,,0,1,0,,0,,
1,404,40401,206913000000,リンデンバーム トゥールーズ,リンデンバーム トゥールーズ,,,0,1,0,,0,,
1,404,40401,206914000000,リンデンバーム　モンベリアール,リンデンバーム　モンベリアー,,,0,1,0,,0,,
1,404,40401,206915000000,リンデンバーム　ニュルンベルグ,リンデンバーム　ニュルンベル,,,0,1,0,,0,,
1,406,40602,206916000000,リンデンバーム　カンパーニュ,リンデンバーム　カンパーニュ,,,0,1,0,,0,,
1,404,40401,206917000000,筍と木の芽のソーセージ,筍と木の芽のソーセージ,,,0,1,0,,0,,
1,406,40602,206918000000,テリーヌドグランメール,テリーヌドグランメール,,,0,1,0,,0,,
1,404,40401,206919000000,筍と木の芽ウィンナー,筍と木の芽ウィンナー,,,0,1,0,,0,,
1,405,40510,206922000000,パテアンクルート,パテアンクルート,,,0,1,0,,0,,
1,406,40602,206923000000,京地鶏とピクルスのゼリー寄せ,京地鶏とピクルスのゼリー寄せ,,,0,1,0,,0,,
1,406,40602,206924000000,鴨とイチジク、ナッツのテリーヌ,鴨とイチジク、ナッツのテリー,,,0,1,0,,0,,
1,406,40602,206925000000,鹿のテリーヌ,鹿のテリーヌ,,,0,1,0,,0,,
1,406,40602,206926000000,ホロホロ鳥と栗のテリーヌ,ホロホロ鳥と栗のテリーヌ,,,0,1,0,,0,,
1,404,40401,206927000000,チーズウインナー,チーズウインナー,,,0,1,0,,0,,
1,404,40401,206930000000,さくらウィンナー,さくらウィンナー,,,0,1,0,,0,,
1,404,40401,206932000000,ツゴイナーソーセージ,ツゴイナーソーセージ,,,0,1,0,,0,,
1,404,40401,206933000000,パクチーのソーセージ,パクチーのソーセージ,,,0,1,0,,0,,
1,404,40404,206934000000,新生姜ソーセージ,新生姜ソーセージ,,,0,1,0,,0,,
1,406,40602,206935000000,無添加イタリア惣菜３種盛,無添加イタリア惣菜３種盛,,,0,1,0,,999,,
1,406,40603,206936000000,亮昌塩昆布餃子,亮昌塩昆布餃子,,,0,1,0,,898,,
1,406,40604,206937000000,菜の花と卵,菜の花と卵,,,0,1,0,,830,,
1,406,40604,206938000000,ボロネーゼとほうれん草とチーズ,ボロネーゼとほうれん草とチー,,,0,1,0,,898,,
1,406,40602,206939000000,山椒チキンキーマカレー,山椒チキンキーマカレー,,,0,1,0,,1500,,
1,406,40602,206940000000,澤邉ハムソーセージグラタン,澤邉ハムソーセージグラタン,,,0,1,0,,998,,
1,406,40604,206941000000,益市ユッケジャンクッパ,益市ユッケジャンクッパ,,,0,1,0,,998,,
1,405,40513,206942000000,益市牛すじスープ,益市牛すじスープ,,,0,1,0,,450,,
1,406,40602,206943000000,無添加ニョッキ（トマトバジル）,無添加ニョッキ（トマトバジル,,,0,1,0,,0,,
1,406,40602,206944000000,トリッパと白いんげん豆の煮込み,トリッパと白いんげん豆の煮込,,,0,1,0,,498,,
1,406,40602,206946000000,アランチーニ　トマト,アランチーニ　トマト,ｱﾗﾝﾁｰﾆ ﾄﾏﾄ,,0,1,0,,320,,
1,406,40602,206947000000,アランチーニ　ポルチーニ,アランチーニ　ポルチーニ,ｱﾗﾝﾁｰﾆ ﾎﾟﾙﾁｰﾆ,,0,1,0,,380,,
1,406,40602,206948000000,バルサミコチキン&トマト,バルサミコチキン&トマト,,,0,1,0,,880,,
1,406,40602,206949000000,タルタルエッグサーモン,タルタルエッグサーモン,,,0,1,0,,850,,
1,406,40604,206967000000,黒毛和牛甘辛スジポッカ丼,黒毛和牛甘辛スジポッカ丼,,,0,1,0,,898,,
1,406,40604,206968000000,黒毛和牛しゃぶしゃぶ冷麺,黒毛和牛しゃぶしゃぶ冷麺,,,0,1,0,,1150,,
1,406,40604,206969000000,黒毛和牛ピビン冷&#40629;,黒毛和牛ピビン冷&#40629;,,,0,1,0,,1200,,
1,406,40604,206970000000,黒毛和牛炙りカルビ冷麺,黒毛和牛炙りカルビ冷麺,,,0,1,0,,998,,
1,406,40602,206971000000,山椒チキンキーマカレー,山椒チキンキーマカレー,,,0,1,0,,1500,,
1,405,999999,206972000000,Arjento季節のオムレツ,Arjento季節のオムレツ,,,0,1,0,,750,,
1,406,40604,206973000000,スルメキンパ弁当,スルメキンパ弁当,,,0,1,0,,1325,,
1,406,40604,206974000000,辛じゃこキンパ弁当,辛じゃこキンパ弁当,,,0,1,0,,1325,,
1,406,999999,206975000000,Argentoスモークサバ,Argentoスモークサバ,,,0,1,0,,820,,
1,406,999999,206976000000,Argentoチェダーチーズオリーブ卵,Argentoチェダーチーズオリー,,,0,1,0,,650,,
1,406,999999,206977000000,Argentoサーモンポテト＆ハニーマスタード,Argentoサーモンポテト＆ハニ,,,0,1,0,,1800,,
1,406,999999,206978000000,Argentoエビ卵,Argentoエビ卵,,,0,1,0,,820,,
1,406,999999,206979000000,Argento鴨と紅マドンナ,Argento鴨と紅マドンナ,,,0,1,0,,950,,
1,406,40604,206980000000,２種のキンパ,２種のキンパ,,,0,1,0,,950,,
1,406,40604,206981000000,コンジュキンパお惣菜セット,コンジュキンパお惣菜セット,,,0,1,0,,1830,,
1,406,40603,206982000000,亮昌唐揚,亮昌唐揚,,,0,1,0,,620,,
1,406,40602,206983000000,さわべコンビーフグラタン,さわべコンビーフグラタン,,,0,1,0,,948,,
1,406,40601,206984000000,節分限定キンパ(キムチあり),節分限定キンパ(キムチあり),,,0,1,0,,1165,,
