店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,2306,230604,2372167,北尾　栗きんとん,北尾栗きんとん,,,0,1,0,,864,,
1,2301,230107,40804439,ＭＩＸピクルス,ＭＩＸピクルス,,,0,1,0,,778,,
1,2301,230107,40804613,コーニッション,コーニッション,,,0,1,0,,735,,
1,2301,230107,40804644,ガーキンスピクルス,ガーキンスピクルス,,,0,1,0,,627,,
1,2308,230806,45071256,チョコシロップ,チョコシロップ,,,0,1,0,,502,,
1,2304,230404,49206401,コンビーフ,コンビーフ,,,0,1,0,,519,,
1,2304,230404,49206418,コンビーフ,コンビーフ,,,0,1,0,,538,,
1,2304,230404,49687415,栗渋皮付,栗渋皮付,,,0,1,0,,1080,,
1,2304,230404,49687651,利休栗甘露煮,利休栗甘露煮,,,0,1,0,,1080,,
1,2308,230806,49687743,米あめ,米あめ,,,0,1,0,,453,,
1,2308,230806,49687781,水あめ　瓶,水あめ　瓶,,,0,1,0,,303,,
1,2301,230105,49690521,梅なめ茸,梅なめ茸　, ｳﾒﾅﾒﾀｹ ,２００ｇ,0,1,300,,324,小林農園,
1,2306,230602,49746112,瀬戸風味　ふりかけ,瀬戸風味　ふりかけ,,,0,1,0,,486,,
1,2306,230602,49746136,かつおみりん,かつおみりん,,,0,1,0,,486,,
1,2304,230404,80030997,アンチョビ,アンチョビ,,,0,1,0,,1988,,
1,2301,230101,11194175825,Ｓ＆Ｗ　イエローピーチハーフ４号缶　４２０ｇ,Ｓ＆Ｗ　イエローピーチハーフ,S&W ｲｴﾛ-ﾋﾟ-ﾁﾊ-ﾌ 420G,４２０ｇ,0,1,300,,411,,
1,2301,230101,11194228637,Ｓ＆Ｗ　ブルーベリー４号缶　４２５ｇ,Ｓ＆Ｗ　ブルーベリー４号缶,S&W ﾌﾞﾙｰﾍﾞﾘｰ4ｺﾞｳｶﾝ  425G,４２５ｇ,0,1,0,,1021,,
1,2301,230101,11194340414,Ｓ＆Ｗ　サワークラウト　４１１ｇ,Ｓ＆Ｗ　サワークラウト　４１,S&W ｻﾜｰｸﾗｳﾄ 411g,４１１ｇ,0,1,290,,329,,
1,2301,230101,11194384890,Ｓ＆Ｗ　チリビーンズ　４号缶　４３９ｇ,Ｓ＆Ｗ　チリビーンズ　４号缶,S&W ﾁﾘﾋﾞｰﾝｽﾞ 4ｺﾞｳｶﾝ 439g,４３９ｇ,0,1,300,,343,,
