店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,2501,250117,40804101,キャロットサラダ,キャロットサラダ,,,0,1,0,,627,,
1,2501,250109,49200294,丹波大納言小豆,丹波大納言小豆,ｷﾀｵｷﾖｳﾀﾝﾊﾞﾀﾞｲﾅｺﾞﾝｱﾂﾞｷ300G,３００ｇ,0,1,1575,,2160,北尾商事,
1,2501,250117,49687682,黒豆きな粉,黒豆きな粉,,,0,1,0,,324,,
1,2501,250117,49687712,黒洲きなこ,黒洲きなこ,,,0,1,0,,238,,
1,2501,250109,49687750,ゆであずき,ゆであずき,,,0,1,0,,1058,,
1,2503,250303,875280000039,御麺乾うどん,御麺乾うどん,ｵﾒﾝ,,0,1,0,,500,,
1,2501,250108,875280000107,十八穀米,十八穀米,,,0,1,0,,2160,,
1,2506,250601,875280000237,十八種穀物米,十八種穀物米,,,0,1,0,,1728,,
1,2503,250303,1956506224459,五種雑穀うどん,五種雑穀うどん,,,0,1,0,,486,,
1,2501,250117,2225830400006,びっ栗,びっ栗,ﾋﾞｯｸﾘ,,0,1,0,,950,,
1,2503,250308,3223920720125,クスクス,クスクス,,,0,1,0,,648,,
1,2504,999999,3223922820120,クスクス,クスクス,ｸｽｸｽ,,0,1,0,,523,,
1,2502,250201,4510511102385,手巻きのり,手巻きのり,,,0,1,0,,540,,
1,2502,250201,4510511102545,きざみのり,きざみのり,,,0,1,0,,540,,
1,2502,250201,4510511103023,徳用味付けのり,徳用味付けのり,,,0,1,0,,648,,
1,2502,250205,4511170112036,鰹おかか,鰹おかか,,,0,1,0,,303,,
1,2501,250113,4511171111816,国産はるさめ,国産はるさめ,ｺｸｻﾝﾊﾙｻﾒ,,0,1,0,,368,,
1,2501,250110,4511171111960,スライス椎茸,スライス椎茸,,,0,1,0,,530,,
1,2501,250110,4511171112172,かけ葉しいたけ,かけ葉しいたけ,,,0,1,0,,346,,
1,2502,250205,4511171120368,北前屋鰹おかか,北前屋鰹おかか,,,0,1,0,,322,,
1,2502,250205,4511171120962,鰹おかか,鰹おかか,ｶﾂｵｵｶｶ,,0,1,0,,303,,
1,2501,250117,4511171161231,サフラン,サフラン,,,0,1,0,,994,,
1,2502,250201,4511401004109,焼のりふりかけ,焼のりふりかけ,ﾔｷﾉﾘﾌﾘｶｹ,,0,1,0,,324,,
1,2502,250207,4511401010513,食べる小魚,食べる小魚,,,0,1,0,,340,,
1,2502,250207,4511401014009,若あらめ,若あらめ,,,0,1,0,,398,,
1,2506,250601,4511401068002,むすび塩のり　,おむすび塩のり,ｵﾑｽﾋﾞｼｵﾉﾘ ,５０ｇ,0,1,0,,355,ワタエー,
1,2502,250201,4511401111234,板のり,板のり,,,0,1,0,,1080,,
1,2502,250201,4511401304056,ばらのり,ばらのり,,,0,1,0,,476,,
1,2505,250505,4511621051402,とぼ餅　昆布,とぼ餅　昆布,,,0,1,0,,378,,
1,2505,250505,4511621052409,とぼ餅,とぼ餅,,,0,1,0,,378,,
1,2505,250505,4511621054403,とぼ餅　青のり,とぼ餅　青のり,,,0,1,0,,378,,
1,2502,250207,4512150001005,まぐろ角煮,まぐろ角煮,ﾏｸﾞﾛｶｸﾆ,,0,1,0,,540,,
1,2502,250207,4512150140001,かつお角煮,かつお角煮,ｶﾂｵｶｸﾆ,,0,1,0,,540,,
1,2501,250117,4512165200257,レンチンご飯・魚沼,レンチンご飯・魚沼,,,0,1,0,,240,,
1,2501,250117,4512165200264,魚沼ごはん玄米,魚沼ごはん玄米,,,0,1,0,,240,,
1,2501,250109,4512165900010,魚沼きな粉,魚沼きな粉,,,0,1,0,,497,,
1,2501,250117,4513932040106,福っくら御膳,福っくら御膳,,,0,1,0,,1296,,
1,2501,250117,4518568000050,粒こんきらり,粒こんきらり,,,0,1,0,,864,,
1,2501,250117,4518568000418,ぷるんぷあん,ぷるんぷあん,,,0,1,0,,680,,
1,2503,250308,4518568000456,ゼンパスタ,ゼンパスタ,,,0,1,0,,270,,
1,2503,250308,4518568000463,ゼンパスタ,ゼンパスタ,,,0,1,0,,270,,
1,2501,250117,4518568900411,ぷるんぷあん,ぷるんぷあん,ｶﾝｿｳｲﾄｺﾝﾆﾔｸ ｼ-ﾄｶﾞﾀ 50GX4,５０ｇ×４,0,1,630,,680,トレテス,
1,2506,250601,4518568911110,トレテス　乾燥粒こんにゃく粒こんきらり　２４０ｇ,粒こんきらり,ｶﾝｿｳﾂﾌﾞｺﾝﾆﾔｸﾂﾌﾞｺﾝｷﾗﾘ 240G,２４０ｇ,0,1,880,,950,トレテス,
1,2501,250117,4519727050169,にんにくスライス,にんにくスライス,,,0,1,0,,580,,
1,2504,250401,4523466230348,セタロ・パスタ,セタロ・パスタ,,,0,1,0,,1059,,
1,2504,250401,4523466230355,セタロ・パスタ,セタロ・パスタ,,,0,1,0,,972,,
1,2504,250401,4523466230362,リングイーネ,リングイーネ,,,0,1,0,,1059,,
1,2504,250401,4523466230713,スパゲッティ,スパゲッティ,,,0,1,0,,918,,
1,2501,250117,4526248080230,熟成ぬか床,熟成ぬか床,,,0,1,0,,702,,
1,2501,250117,4526248556674,熟成ぬか床,熟成ぬか床,,,0,1,0,,594,,
1,2501,250117,4526248557442,ぬか床うまみの素,ぬか床うまみの素,,,0,1,0,,411,,
1,2503,250308,4528462400313,ベトナムフォー,ベトナムフォー,,,0,1,0,,448,,
1,2502,250207,4530130017907,焼きあごだし,焼きあごだし,,,0,1,0,,720,,
1,2501,250112,4530329777117,すりごま白,すりごま白,ﾀｲｺｳﾉｽﾘｺﾞﾏｼﾛ 85G,８５ｇ,0,1,0,,352,大幸食品,
1,2501,250117,4533020213069,北海粒あん,北海粒あん,,,0,1,0,,698,,
1,2501,250103,4533548013059,てんぷら粉,てんぷら粉,,,0,1,0,,378,,
1,2501,250101,4533548013073,からあげ粉,からあげ粉,,,0,1,0,,272,,
1,2505,250501,4533548050856,杵つき丸もち,杵つき丸もち,,,0,1,0,,713,,
1,2505,250502,4535874000338,梅こもち,梅こもち,,,0,1,0,,298,,
1,2505,250502,4535874019026,つきたて玄米もち,つきたて玄米もち,,,0,1,0,,750,,
1,2505,250501,4535874120258,玄米こもち,玄米こもち,,,0,1,0,,554,,
1,2505,250505,4535874207034,洛東　おはぎ,洛東　おはぎ,,,0,1,0,,540,,
1,2505,250501,4535874800013,つきたてこもち,つきたてこもち,,,0,1,0,,1380,,
1,2505,999999,4535874900003,おはぎ,おはぎ,,,0,1,0,,460,,
1,2505,250503,4539424020104,杵つき白もち,杵つき白もち,ﾓﾘﾊﾞﾔｼ ｷﾈﾂｷﾓﾁｼﾛﾓﾁ 10P,１０Ｐ,0,1,580,,1115,新潟森林農園,
1,2505,250503,4539424020203,杵つきもちミックス,杵つきもちミックス,ﾓﾘﾊﾞﾔｼ ｷﾈﾂｷﾓﾁﾐｯｸｽ 500G,５００ｇ,0,1,630,,1200,新潟森林農園,
1,2505,250503,4539424022207,杵つきミックス餅,杵つきミックス餅,ﾓﾘﾊﾞﾔｼ ｷﾈﾂｷﾓﾁﾐｯｸｽ 250G,２５０ｇ,0,1,330,,584,新潟森林農園,
1,2502,250207,4541024000226,老舗のだしパック,老舗のだしパック,,,0,1,0,,1296,,
1,2501,250117,4542863000033,野生のオレガノ,野生のオレガノ,,,0,1,0,,896,,
1,2501,999999,4542863000040,野生のオレガノ,野生のオレガノ,ﾔｾｲﾉｵﾚｶﾞﾉ,,0,1,0,,540,,
1,2504,250401,4542863002075,アサクラパスタ,アサクラパスタ,,,0,1,0,,1188,,
1,2504,250403,4542863002105,ペンネ,ペンネ,,,0,1,0,,750,,
1,2504,250403,4542863002112,アサクラパスタ,アサクラパスタ,,,0,1,0,,648,,
1,2504,250401,4542863003065,アサクラパスタ,アサクラパスタ,,,0,1,0,,684,,
1,2504,250401,4542863003072,アサクラパスタ,アサクラパスタ,,,0,1,0,,1188,,
1,2504,250401,4542863020024,アサクラパスタ,アサクラパスタ,,,0,1,0,,1188,,
1,2504,250401,4542863020055,アサクラパスタ,アサクラパスタ,,,0,1,0,,684,,
1,2503,250307,4546201000051,玄米フォー,玄米フォー,,,0,1,0,,454,,
1,2503,250307,4546201000068,玄米パッタイ,玄米パッタイ,,,0,1,0,,454,,
1,2501,250117,4546201000303,玄米ビーフン,玄米ビーフン,,,0,1,0,,498,,
1,2501,250117,4560100976750,淡路島みそ汁の具,淡路島みそ汁の具,,,0,1,0,,745,,
1,2502,250207,4560231299018,鰤山椒ふりかけ,鰤山椒ふりかけ,ﾌﾞﾘﾉｻﾝｼｮｳﾌﾘｶｹ,,0,1,0,,756,,
1,2503,250301,4560310920017,ゆきやぎ素麺　,ゆきやぎ素麺,ﾕｷﾔｷﾞ ﾕｷﾔｷﾞｿｳﾒﾝ 250G,２５０ｇ,0,1,0,,680,麺舗ゆきやぎ,
1,2501,250105,4560342330235,有機パン粉,有機パン粉,,,0,1,0,,367,,
1,2501,250117,4560342330242,ドライイースト,ドライイースト,,,0,1,0,,216,,
1,2501,250117,4560342330679,ココナッツシュガー,ココナッツシュガー,,,0,1,0,,810,,
1,2501,250104,4560342331713,お好み焼き粉,お好み焼き粉,,,0,1,0,,422,,
1,2501,250104,4560342331720,ホットケーキミックス,ホットケーキミックス,,,0,1,0,,422,,
1,2501,250102,4560342331737,天ぷら粉,天ぷら粉,,,0,1,0,,422,,
1,2501,250102,4560342331744,有機から揚げ粉,有機から揚げ粉,,,0,1,0,,422,,
1,2502,250207,4560379262837,土佐清水スープブロス,土佐清水スープブロス,ﾄｻｼﾐｽﾞｽｰﾌﾟﾌﾞﾛｽ,,0,1,0,,594,,
1,2501,250111,4560389480115,美山ゆば,美山ゆば,,,0,1,0,,486,,
1,2501,250117,4560394101104,フルーツガーリック,フルーツガーリック,,,0,1,0,,2160,,
1,2501,250117,4560394105133,フルーツガーリック,フルーツガーリック,ﾌﾙｰﾂｶﾞｰﾘｯｸ,,0,1,0,,2160,,
1,2501,250110,4560404840849,輪島干しいたけ,輪島干しいたけ,,,0,1,0,,670,,
1,2501,250109,4560426910063,丹波黒豆２L,丹波黒豆２L,,,0,1,0,,1950,,
1,2501,250109,4560426910698,丹波大納言２L,丹波大納言２L,,,0,1,0,,1450,,
1,2501,250109,4560426910797,北海道黒豆,北海道黒豆,,,0,1,0,,600,,
1,2501,250109,4560426911206,丹波黒豆３Ｌ,丹波黒豆３Ｌ,,,0,1,0,,1790,,
1,2501,250117,4560438830274,10種の蒸し雑穀,10種の蒸し雑穀,,,0,1,0,,258,,
1,2501,250109,4560438830298,蒸しミックス豆,蒸しミックス豆,,,0,1,0,,303,,
1,2501,250109,4560438830311,蒸し発芽大豆,蒸し発芽大豆,,,0,1,0,,258,,
1,2501,250109,4560438830410,蒸しひよこ豆,蒸しひよこ豆,,,0,1,0,,270,,
1,2501,250109,4560438830427,3色の蒸しキヌア,3色の蒸しキヌア,,,0,1,0,,270,,
1,2502,250207,4562148580661,ふしのだし　,ふしのだし　,,１０ｇ×２０,0,1,1000,,1296,福島鰹,
1,2501,250117,4562152120266,手焼ナン,手焼ナン,,,0,1,0,,324,,
1,2503,250302,4562320611015,乾麺そば宝　,乾麺そば宝　つゆ入り,ﾔｸﾉ ｶﾝﾒﾝｿﾊﾞﾀﾞｶﾗﾂﾕｲﾘ2P180G,１８０ｇ,0,1,500,,515,やくの農業振興団,
1,2503,250308,4562320613019,丹波の霧・そば,丹波の霧・そば,,,0,1,0,,864,,
1,2501,250109,4562379048428,大納言小豆　煌,大納言小豆　煌,,,0,1,0,,780,,
1,2502,250207,4562441250056,おだしカクテル,おだしカクテル,,,0,1,0,,648,,
1,2502,250207,4562441250070,おだしカクテル,おだしカクテル,,,0,1,0,,648,,
1,2502,250207,4562441250094,おだしカクテル,おだしカクテル,,,0,1,0,,648,,
1,2502,250207,4562441250254,おだしカクテル,おだしカクテル,,,0,1,0,,648,,
1,2502,250207,4562441251381,だしパック,だしパック,,,0,1,0,,864,,
1,2502,250206,4562499663501,やわらか煮干し,やわらか煮干し,,,0,1,0,,432,,
1,2502,250203,4571153732132,野原乾わかめ,野原乾わかめ,,,0,1,0,,1080,,
1,2502,250207,4571227080039,おしゃぶり昆布,おしゃぶり昆布,,,0,1,0,,378,,
1,2502,250202,4571227080084,日高昆布,日高昆布,,,0,1,0,,1584,,
1,2501,250109,4571227080114,まめこん,まめこん,,,0,1,0,,346,,
1,2502,250202,4571227080190,日高昆布,日高昆布,,,0,1,0,,662,,
1,2502,250202,4571227080220,天然真昆布角切,天然真昆布角切,,,0,1,0,,2160,,
1,2502,250203,4571227080381,三陸産カットわかめ,三陸産カットわかめ,,,0,1,0,,504,,
1,2502,250202,4571227080435,羅臼昆布,羅臼昆布,,,0,1,0,,692,,
1,2502,250202,4571227080442,利尻昆布,利尻昆布,,,0,1,0,,850,,
1,2502,250202,4571227080459,真昆布,真昆布,,,0,1,0,,540,,
1,2502,250202,4571227080541,梅とろろ,梅とろろ,,,0,1,0,,567,,
1,2501,250117,4571227080589,南高梅　粉末,南高梅　粉末,,,0,1,0,,532,,
1,2501,250117,4571227080787,紀州南高梅　粒,紀州南高梅　粒,,,0,1,0,,410,,
1,2502,250202,4571227080794,だしパック,だしパック,,,0,1,0,,778,,
1,2502,250207,4571227080817,しそおかか昆布,しそおかか昆布,,,0,1,0,,562,,
1,2502,250203,4571227080831,めかぶとろりん,めかぶとろりん,,,0,1,0,,324,,
1,2502,250207,4571227080848,やわらか削り昆布,やわらか削り昆布,,,0,1,0,,476,,
1,2502,250207,4571227080978,がごめとろりん,がごめとろりん,,,0,1,0,,432,,
1,2502,250201,4571227080985,焼黒ばらのり,焼黒ばらのり,,,0,1,0,,476,,
1,2502,250202,4571227080992,真昆布切出し,真昆布切出し,,,0,1,0,,648,,
1,2502,250207,4571227081029,三陸の長ひじき,三陸の長ひじき,,,0,1,0,,576,,
1,2501,250117,4571227081036,海藻サラダ,海藻サラダ,,,0,1,0,,615,,
1,2502,250202,4571227081043,塩昆布,塩昆布,,,0,1,0,,680,,
1,2501,250109,4571227081180,まめこん,まめこん,,,0,1,0,,346,,
1,2502,250202,4571227081227,がごめ入りとろろ,がごめ入りとろろ,,,0,1,0,,498,,
1,2502,250202,4571227081265,徳用　利尻昆布,徳用　利尻昆布,,,0,1,0,,864,,
1,2501,250117,4571227081272,おつゆ入れるあられ,おつゆ入れるあられ,,,0,1,0,,410,,
1,2502,250207,4571227081296,めかぶとろりん,めかぶとろりん,,,0,1,0,,620,,
1,2502,250202,4571227081333,北海道お得だし,北海道お得だし,,,0,1,0,,1396,,
1,2505,250501,4571258005018,切り餅　白,切り餅　白,,,0,1,0,,1050,,
1,2505,250501,4571258005032,よもぎ餅　角,よもぎ餅　角,,,0,1,0,,1158,,
1,2505,250501,4571258005049,切り餅　黒豆,切り餅　黒豆,,,0,1,0,,1158,,
1,2505,250503,4571258005629,よもぎ切もち,よもぎ切もち,,,0,1,0,,1080,,
1,2501,250117,4571271083093,乾燥ポルチーニ,乾燥ポルチーニ,,,0,1,0,,1080,,
1,2503,250308,4571293170214,五島手延うどん,五島手延うどん,,,0,1,0,,508,,
1,2502,250207,4571495970025,サクサク納豆,サクサク納豆,,,0,1,0,,1720,,
1,2501,250107,4571612591430,山田錦米粉,山田錦米粉,,,0,1,0,,780,,
1,2501,250107,4571612591454,お米パフ,お米パフ,,,0,1,0,,411,,
1,2504,250401,4573153801078,糸島葱パスタ,糸島葱パスタ,,,0,1,0,,648,,
1,2504,250404,4573221460206,米粉麺,米粉麺,ﾏﾙﾃﾞﾊﾟｽﾀﾅｺﾒｺﾒﾝﾌﾟﾚ-ﾝ 100G,１００ｇ,0,1,0,,378,まいもん工房,
1,2504,250404,4573221460220,米粉麺 玄米,米粉麺　玄米,,,0,1,0,,378,,
1,2504,250404,4573221460244,米粉麺,米粉麺,,,0,1,0,,378,,
1,2501,250117,4573222100156,つぶあん,つぶあん,,,0,1,0,,594,,
1,2501,250117,4573222100163,こしあん,こしあん,,,0,1,0,,594,,
1,2501,250117,4573222100170,白あん,白あん,,,0,1,0,,540,,
1,2502,250202,4573476453480,結び昆布,結び昆布,,,0,1,0,,216,,
1,2502,250201,4580044861332,韓国のり,韓国のり,,,0,1,0,,215,,
1,2505,250501,4580122330668,あみがさもち,あみがさもち,,,0,1,0,,350,,
1,2505,250501,4580122330743,よもぎもち,よもぎもち,,,0,1,0,,450,,
1,2505,250502,4580122330873,さんしょもち,さんしょもち,,,0,1,0,,450,,
1,2501,250109,4580123961601,ひよこ豆,ひよこ豆,,,0,1,0,,643,,
1,2501,250109,4580123961618,レンズ豆,レンズ豆,ﾚﾝｽﾞﾏﾒ,,0,1,0,,772,,
1,2501,250109,4580123964244,レンズ豆,レンズ豆,,,0,1,0,,3283,,
1,2501,250117,4580141691870,乾燥きくらげ,乾燥きくらげ,,,0,1,0,,540,,
1,2501,250117,4580141691887,乾燥きくらげスライス,乾燥きくらげスライス,,,0,1,0,,540,,
1,2501,250117,4580141691894,乾燥きくらげ,乾燥きくらげ,,,0,1,0,,540,,
1,2501,250117,4580141692877,九州とうがらし,九州とうがらし,,,0,1,0,,324,,
1,2501,250117,4580141692907,九州とうがらし,九州とうがらし,,,0,1,0,,378,,
