店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,2607,260705,141550,木村屋　楽,木村屋　楽,,,0,1,0,,700,,
1,2603,260303,820977,ポムスティックソルト,ポムスティック　ソルト,,,0,1,10,,324,,
1,2616,261601,21800000,菓子,菓子,,,0,1,0,,0,,
1,2612,261203,45093906,水まんじゅう,水まんじゅう,ｱｵｷｺｳｴﾂﾄﾞｳ ﾋﾄｸﾁﾖｳｶﾝﾈﾘ,,0,1,0,,389,青木光悦堂,
1,2612,261203,45093913,青木光悦堂　水まんじゅう抹茶,水まんじゅう　抹茶,ｱｵｷｺｳｴﾂﾄﾞｳ ﾋﾄｸﾁﾖｳｶﾝﾏﾂﾁﾔ,,0,1,0,,389,青木光悦堂,
1,2611,261102,45204302,記憶力を維持するｶﾞﾑ,記憶力を維持するｶﾞﾑ,,,0,1,0,,162,,
1,2601,260101,45219115,エヌアイエス　トブラローネ　ミルク　３５ｇ,トブラローネ　ミルク　バー,ｴﾇｱｲｴｽ ﾄﾌﾞﾗﾛ-ﾈ ﾐﾙｸ 35G,３５ｇ,0,1,160,,162,エヌアイエスフーズサービス,
1,2601,260103,49337334,宝　サッカーボールチョコ　１０粒,サッカーボールチョコ,ﾀｶﾗ ｻｯｶｰﾎﾞｰﾙﾁｮｺ 10ﾂﾌﾞ,１０粒,0,1,144,,216,宝商事,
1,2601,260103,49337396,アルバートコインチョコレート,コインチョコレート,,６０ｇ,0,1,200,,411,宝商事,0
1,2601,260103,54075030,コインチョコレート,コインチョコレート,,,0,1,0,,216,,
1,2601,260101,76145759,トブラローネ,トブラローネ,,,0,1,0,,162,,
1,2605,260501,80001027,ローカー　トルティーナオリジナル　２１ｇ,トルティーナオリジナル　,ﾛｱｶ- ﾄﾙﾃｲ-ﾅｵﾘｼﾞﾅﾙ 21G,２１ｇ,0,1,120,,162,,0
1,2605,260503,80001089,ローカー　チョコレートダーク　５０ｇ,チョコレートダーク,ﾛ-ｶ- ﾁﾖｺﾚ-ﾄﾀﾞ-ｸ 50G,５０ｇ,0,1,200,,216,,
1,2605,260503,80001249,ウエハースバニラ,ウエハースバニラ,,,0,1,0,,162,,0
1,2605,260503,80001270,ミルクミニ,ミルクミニ,,,0,1,0,,162,,0
1,2601,260104,2469021008,琉球ショコラ,琉球ショコラ,,,0,1,0,,355,,
1,2605,260501,4908012691,ミラーズ　ミシシッピーマッドパイクッキー,Mマッドパイクッキー,,,0,1,0,,540,,
1,2607,260708,6027042535,のし梅,のし梅,,,0,1,0,,440,,
1,2603,260302,12656003601,ファンポップポップコーンバター　７２ｇ,ファンポップポップコーンバタ,ﾌｱﾝﾎﾟﾂﾌﾟﾊﾞﾀ- 72g,７２ｇ,0,1,120,,140,,
1,2605,260501,39047001152,ウォーカー　Ｌパケットフィンガー　１５０ｇ,ウォーカー　Ｌパケットフィン,ｳｵ-ｶ- Lﾊﾟｹﾂﾄﾌｲﾝｶﾞ- 150G,１５０ｇ,0,1,0,,616,,0
1,2605,260501,39047001169,ウォーカー　ショートブレッドフィンガー　４０ｇ,ウォーカー　ショートブレッド,ｳｵ-ｶ- ｼﾖ-ﾄﾌﾞﾚﾂﾄﾞﾌｲﾝｶﾞ-40G,４０ｇ,0,1,0,,166,,0
1,2605,260501,39047001763,ウォーカー　ショートブレッドハイランダー　４０ｇ,ウォーカー　ショートブレッド,ｳｵ-ｶ-ｼﾖ-ﾄﾌﾞﾚﾂﾄﾞﾊｲﾗﾝﾀﾞ-40G,４０ｇ,0,1,0,,166,,0
1,2605,260501,39047002111,ハイランドオートケーキ ,ハイランドオートケーキ ,,,0,1,0,,594,,
