店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,2701,270101,4944197100128,幸福堂　おはぎ,幸福堂　おはぎ,ｵﾊｷﾞ,,0,1,0,,540,,
1,2701,270102,4944197100210,若鮎,若鮎,,,0,1,0,,280,,
1,2701,270102,4944197100326,幸福堂　あんわらび２個,あんわらび幸福堂,,,0,1,0,,480,,
1,2701,270105,4944197100425,幸福堂　小餅２個,幸福堂　小餅２個,,,0,1,0,,220,,
1,2701,270102,4944197100517,あんころ餅　つぶ餡,あんころ餅　つぶ餡,,,0,1,0,,172,,
1,2701,270101,4944197100524,あんころ餅２個入,あんころ餅２個入,,,0,1,0,,420,,
1,2701,270102,4944197100562,あんころ餅　こし餡,あんころ餅　こち餡,,,0,1,0,,172,,
1,2701,270102,4944197100715,お火焚饅頭,お火焚饅頭,,,0,1,0,,500,,
1,2701,270102,4944197100753,お迎えだんご5,お迎えだんご5,,,0,1,0,,550,,
1,2701,270102,4944197100852,お送りだんご,お送りだんご,,,0,1,0,,550,,
1,2701,270101,4944197100913,苺大福,苺大福,,,0,1,0,,600,,0
1,2701,270101,4944197100920,幸福堂　田舎まんじゅう,田舎まんじゅう,,,0,1,0,,440,,
1,2701,270102,4944197100937,うぐいす餅,うぐいす餅,,,0,1,0,,500,,
1,2701,270102,4944197100944,亥の子餅,亥の子餅,,,0,1,0,,500,,
1,2701,270102,4944197100951,幸福堂　苺大福　１個,苺大福　こし餡,,,0,1,0,,450,,0
1,2701,270106,4944197100975,幸福堂　苺大福　つぶ餡　1個,苺大福　つぶ餡　,,,0,1,0,,450,,0
1,2701,270102,4944197100982,幸福堂　みかん大福,みかん大福,,,0,1,0,,380,,0
1,2701,270101,4944197100999,幸福堂　こはる２個,幸福堂　こはる２個,,,0,1,0,,367,,
1,2701,270102,4944197200125,くずまんじゅう,くずまんじゅう,,,0,1,0,,460,,
1,2701,270102,4944197200149,くず抹茶・幸福堂,くず抹茶・幸福堂,,,0,1,0,,420,,
1,2701,270102,4944197200156,幸福堂葛まんじゅう　桜あん,葛まんじゅう桜あん,,,0,1,0,,460,,
1,2701,270102,4944197200163,葛まんじゅう桜あん,葛まんじゅう桜あん,,,0,1,0,,420,,
1,2701,270102,4944197200224,幸福堂　渋皮栗餅,渋皮栗餅　幸福堂,,,0,1,0,,540,,0
1,2701,270102,4944197200248,栗羽二重餅,栗羽二重餅,,,0,1,0,,486,,
1,2701,270102,4944197200255,栗羽二重餅,栗羽二重餅,,,0,1,0,,324,,
1,2701,270102,4944197200514,栗赤飯,栗赤飯,,,0,1,0,,600,,
1,2701,270102,4944197200620,栗餅２個,栗餅２個,,,0,1,0,,640,,
1,2701,270102,4944197200828,幸福堂栗羊羹,栗ようかん,,,0,1,0,,560,,
1,2701,270102,4944197200910,柏餅,柏餅,,,0,1,0,,750,,
1,2701,270102,4944197200927,柏餅　つぶ餡,柏餅　つぶ餡,,,0,1,0,,250,,
1,2701,270102,4944197200958,柏餅　こし餡,柏餅　こし餡,,,0,1,0,,250,,
1,2701,270102,4944197200989,柏餅　みそ餡,柏餅　みそ餡,,,0,1,0,,250,,
1,2701,270101,4944197300115,幸福堂　赤飯,赤飯　幸福堂,,,0,1,0,,500,,
1,2701,270101,4944197300214,幸福堂　山菜おこわ,山菜おこわ　幸福堂,,,0,1,0,,500,,
1,2701,270101,4944197300429,幸福堂　三食団子2本,三色だんご２本,,,0,1,0,,420,,
1,2701,270101,4944197300436,三色だんご三本,三色だんご三本,,,0,1,0,,518,,
1,2701,270102,4944197300627,桜餅二個,桜餅二個,,,0,1,0,,540,,0
1,2701,270102,4944197300641,桜大福,桜大福,,,0,1,0,,345,,
1,2701,270102,4944197300726,幸福堂　さつまいも大福,さつまいも大福,,,0,1,0,,440,,0
1,2701,270104,4944197300818,白むし,白むし,,,0,1,0,,500,,
1,2701,270102,4944197300825,すはま,すはま,,,0,1,0,,270,,
1,2701,270102,4944197300832,すはま,すはま,,,0,1,0,,258,,
1,2701,270102,4944197300849,すはま,すはま,,,0,1,0,,450,,
1,2701,270102,4944197300955,さつまいも大福2個入り,さつまいも大福2個入り,,,0,1,0,,460,,
1,2701,270105,4944197400112,名物手打よもぎ,名物手打よもぎ,,,0,1,0,,345,,
1,2701,270101,4944197400129,幸福堂　名物手打ちよもぎ,名物手打ちよもぎ,,,0,1,0,,480,,0
1,2701,270102,4944197400150,三色団子よもぎ,三色団子よもぎ,,,0,1,0,,345,,
1,2701,270101,4944197400211,幸福堂　茶だんご,茶だんご　幸福堂,,,0,1,0,,300,,
1,2701,270101,4944197400228,茶だんご,茶だんご,,,0,1,0,,330,,
1,2701,270101,4944197400235,幸福堂茶だんご３本,幸福堂茶だんご３本,,,0,1,0,,450,,
1,2701,270102,4944197400365,月見だんご,月見だんご,,,0,1,0,,460,,
1,2701,270102,4944197400419,ちまき,ちまき,,,0,1,0,,370,,
1,2701,270102,4944197400433,ちまき　３本入り,ちまき　３本入り,,,0,1,0,,1110,,
1,2701,270102,4944197400457,ちまき5本,ちまき5本,,,0,1,0,,1512,,
1,2701,270105,4944197500119,幸福堂あわ切餅,あわ切餅,,,0,1,0,,1700,,
1,2701,270105,4944197500218,幸福堂よもぎ切餅,よもぎ切餅,,,0,1,0,,1700,,
1,2701,270105,4944197500317,幸福堂うる切餅,うる切餅,,,0,1,0,,1700,,
1,2701,270105,4944197500416,幸福堂えび切餅,えび切餅,,,0,1,0,,1700,,
1,2701,270105,4944197500515,幸福堂黒豆切餅,黒豆切餅,,,0,1,0,,1700,,
1,2701,270105,4944197500614,幸福堂白切り餅,白切り餅,,,0,1,0,,1700,,
1,2701,270105,4944197500690,切り餅・幸福堂,切り餅・幸福堂,,,0,1,0,,648,,
1,2701,270105,4944197500720,幸福堂パック鏡餅,パック鏡餅300ｇ,,,0,1,0,,1810,,0
1,2701,270105,4944197500737,パック鏡餅,パック鏡餅,,,0,1,0,,1188,,0
1,2701,270105,4944197500744,パック鏡餅,パック鏡餅,,,0,1,0,,850,,0
1,2701,270105,4944197500782,幸福堂パック小餅１ｋｇ,幸福堂パック小餅１ｋｇ,,,0,1,0,,2592,,
1,2701,270105,4944197500799,幸福堂パック小餅　500ｇ,幸福堂パック小餅　500ｇ,,,0,1,0,,1700,,
1,2701,270105,4944197500836,幸福堂小餅１ｋｇ,幸福堂小餅１?,,,0,1,0,,2592,,
1,2701,270105,4944197500843,幸福堂小餅500ｇ,幸福堂小餅500ｇ,,,0,1,0,,1600,,
1,2701,270105,4944197500881,幸福堂小餅10個,小餅10個　幸福堂,,,0,1,0,,1100,,
1,2701,270105,4944197511016,幸福堂　小々餅18個,小々餅18個　幸福堂,,,0,1,0,,1100,,
1,2701,270102,4944197600123,水まんじゅう　甘夏みかん,水まんじゅう　甘夏みかん,,,0,1,0,,250,,
1,2701,270104,4944197600215,蓮菓子　花,蓮菓子　花,,,0,1,0,,216,,
1,2701,270104,4944197600239,蓮菓子,蓮菓子　３個入り,,,0,1,0,,570,,
1,2701,270104,4944197600253,蓮菓子　餡入り,蓮菓子　餡入り,,,0,1,0,,720,,
1,2701,270104,4944197600260,蓮菓子　花・葉,蓮菓子　花・葉,,,0,1,0,,345,,
1,2701,270102,4944197600536,ひちぎりもち,ひちぎりもち,,,0,1,0,,518,,
1,2701,270106,4944197600802,幸福堂花びら餅,幸福堂花びら餅,,,0,1,0,,420,,0
1,2701,270102,4944197600994,よもぎ麩饅頭,よもぎ麩饅頭,,,0,1,0,,440,,
1,2701,270103,4944197700113,みな月,みな月３個入り,,,0,1,0,,750,,
1,2701,270101,4944197700212,みたらし団子,みたらし団子,,,0,1,0,,650,,
1,2701,270102,4944197700229,水まんじゅう　マンゴー,水まんじゅう　マンゴー,,,0,1,0,,250,,
1,2701,270102,4944197700236,水まんじゅう　梅,水まんじゅう　梅,,,0,1,0,,250,,
1,2701,270106,4944197700304,幸福堂　ぎぼし最中３個入り,ぎぼし最中３個入り,,,0,1,0,,960,,
