店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,910,91001,20200000,果物,果物,,,0,1,0,,0,,
1,902,90208,2500703986,ミネオラタンジェロ,ミネオラタンジェロ,,,0,1,0,,398,,
1,904,90406,200963000000,ベリーツいちご,ベリーツいちご,,,0,1,0,,0,,
1,906,999999,200969000000,チェリー,チェリー,,,0,1,0,,0,,0
1,902,90202,201061000000,不知火,不知火,,,0,1,0,,0,,
1,901,90107,201063000000,りんご,りんご,,,0,1,0,,0,,
1,907,90714,201080000000,フィンガーライム,フィンガーライム,,,0,1,0,,0,,
1,903,90301,201694000000,ｷﾝｸﾞﾃﾞﾗｳｪｱ,ｷﾝｸﾞﾃﾞﾗｳｪｱ,,,0,1,0,,0,,
1,907,90706,201710000000,ゴールデンパイナップル,ゴールデンパイナップル,,,0,1,0,,0,,
1,907,90706,201711000000,キャンディーナパイナップル,キャンディーナパイナップル,,,0,1,0,,0,,
1,907,90707,201712000000,ゴールデンキーウイ,ゴールデンキーウイ,,,0,1,0,,0,,
1,903,90306,201713000000,シャインマスカット,シャインマスカット,,,0,1,0,,0,,
1,903,90305,201715000000,藤みのりぶどう,藤みのりぶどう,,,0,1,0,,0,,
1,903,90304,201716000000,ナガノパープルぶどう,ナガノパープルぶどう,,,0,1,0,,0,,
1,903,90309,201717000000,種なし大峰,種なし大峰,,,0,1,0,,0,,
1,903,90309,201719000000,紫苑ぶどう,紫苑ぶどう,,,0,1,0,,0,,
1,905,90508,201720000000,北海道メロン（緑）,北海道メロン（緑）,,,0,1,0,,0,,
1,905,90508,201721000000,北海道メロン（赤肉）,北海道メロン（赤肉）,,,0,1,0,,0,,
1,906,90606,201722000000,南水梨,南水梨,,,0,1,0,,0,,
1,906,90606,201723000000,あきつき梨,あきつき梨,,,0,1,0,,0,,
1,906,90607,201724000000,香梨,香梨,,,0,1,0,,0,,
1,906,90606,201725000000,王秋梨,王秋梨,,,0,1,0,,0,,
1,901,90105,201726000000,シナノスィートりんご,シナノスィートりんご,,,0,1,0,,0,,
1,901,90105,201727000000,シナノゴールドりんご,シナノゴールドりんご,,,0,1,0,,0,,
1,901,90105,201728000000,シナノドルチェりんご,シナノドルチェりんご,,,0,1,0,,0,,
1,901,90105,201729000000,シナノレッドりんご,シナノレッドりんご,,,0,1,0,,0,,
1,901,90107,201730000000,トキりんご,トキりんご,,,0,1,0,,0,,
1,901,90107,201731000000,秋映りんご,秋映りんご,,,0,1,0,,0,,
1,901,90107,201732000000,ぐんま名月りんご,ぐんま名月りんご,,,0,1,0,,0,,
1,902,90208,201733000000,紅まどんな,紅まどんな,,,0,1,0,,0,,
1,902,90203,201734000000,せとか,せとか,,,0,1,0,,0,,
1,902,90202,201735000000,デコポン,デコポン,,,0,1,0,,0,,
1,907,90714,201736000000,メロゴールド,メロゴールド,,,0,1,0,,0,,
1,902,90208,201737000000,あまくさオレンジ,あまくさオレンジ,,,0,1,0,,0,,
1,902,90208,201738000000,甘平オレンジ,甘平オレンジ,,,0,1,0,,1680,,
1,902,90208,201739000000,たまみオレンジ,たまみオレンジ,,,0,1,0,,0,,
1,907,90704,201740000000,マンダリンオレンジ,マンダリンオレンジ,,,0,1,0,,0,,
1,902,90208,201741000000,アンコールオレンジ,アンコールオレンジ,,,0,1,0,,0,,
1,902,90208,201742000000,佐用姫オレンジ,佐用姫オレンジ,,,0,1,0,,0,,
1,902,90208,201743000000,はるみオレンジ,はるみオレンジ,,,0,1,0,,0,,
1,906,90610,201744000000,紀ノ川柿,紀ノ川柿,,,0,1,0,,0,,
1,906,90609,201745000000,大枝の富有柿,大枝の富有柿,,,0,1,0,,0,,
1,906,90609,201746000000,輝太郎柿,輝太郎柿,,,0,1,0,,0,,
1,906,90609,201747000000,太秋柿（種あり）,太秋柿（種あり）,,,0,1,0,,498,,
1,907,90714,201749000000,ラズベリー,ラズベリー,,,0,1,0,,0,,
1,904,90401,201750000000,あまおういちご,あまおういちご,,,0,1,0,,0,,
1,904,90402,201751000000,ほのかいちご,ほのかいちご,,,0,1,0,,0,,
1,904,90406,201752000000,おいCベリーいちご,おいCベリーいちご,,,0,1,0,,0,,
1,904,90403,201753000000,ひのしずくいちご,ひのしずくいちご,,,0,1,0,,0,,
1,904,90406,201754000000,紅ほっぺいちご,紅ほっぺいちご,,,0,1,0,,0,,
1,904,90405,201755000000,古都華いちご,古都華いちご,,,0,1,0,,0,,
1,904,90406,201756000000,淡雪いちご,淡雪いちご,,,0,1,0,,0,,
1,904,90406,201757000000,さちのかいちご,さちのかいちご,,,0,1,0,,0,,
1,904,90406,201759000000,さぬき姫いちご,さぬき姫いちご,,,0,1,0,,0,,
1,904,90406,201760000000,あき姫いちご,あき姫いちご,,,0,1,0,,0,,
1,902,90201,201761000000,日高農園みかん,日高農園みかん,,,0,1,0,,0,,
1,907,90712,201762000000,グリーンシードレスぶどう,グリーンシードレスぶどう,,,0,1,0,,0,,
1,907,90712,201763000000,レッドシードレスぶどう,レッドシードレスぶどう,,,0,1,0,,0,,
1,902,90208,201764000000,日向夏,日向夏,,,0,1,0,,0,,
1,902,90208,201765000000,小夏,小夏,,,0,1,0,,0,,
1,902,90208,201766000000,南津海（なつみ）,南津海（なつみ）,,,0,1,0,,0,,
1,902,90208,201768000000,みしょう柑,みしょう柑,,,0,1,0,,0,,
1,905,90505,201769000000,赤肉メロン,赤肉メロン,,,0,1,0,,0,,
1,905,90504,201770000000,緑肉メロン,緑肉メロン,,,0,1,0,,0,,
1,906,90612,201772000000,サマーエンジェル,サマーエンジェル,,,0,1,0,,0,,
1,906,90612,201773000000,秋姫,秋姫,,,0,1,0,,0,,
1,906,90612,201774000000,貴陽,貴陽,,,0,1,0,,0,,
1,906,90612,201776000000,紅りょうぜん,紅りょうぜん,,,0,1,0,,0,,
1,906,90612,201777000000,峰満イエロー,峰満イエロー,,,0,1,0,,0,,
1,903,90309,201780000000,種無しゴルビー,種無しゴルビー,,,0,1,0,,0,,
1,906,90609,201782000000,市田柿,市田柿,,,0,1,0,,880,,
1,906,90606,201784000000,あたご梨,あたご梨,,,0,1,0,,0,,
1,906,90607,201786000000,新甘泉梨,新甘泉梨,,,0,1,0,,0,,
1,906,90606,201787000000,秋甘泉梨,秋甘泉梨,,,0,1,0,,0,,
1,901,90107,201788000000,こみつりんご,こみつりんご,,,0,1,0,,0,,
1,901,90107,201789000000,こうとくりんご,こうとくりんご,,,0,1,0,,0,,
1,907,90711,201790000000,アボガド,アボガド,,,0,1,0,,0,,
1,907,90702,201791000000,オレンジ,オレンジ,,,0,1,0,,0,,
1,907,90706,201792000000,ピーチパイナップル,ピーチパイナップル,,,0,1,0,,0,,
1,907,90707,201793000000,グリーンキウイ,グリーンキウイ,,,0,1,0,,0,,
1,906,90612,201794000000,あんず,あんず,,,0,1,0,,0,,
1,908,90803,201795000000,カットすいか,カットすいか,,,0,1,0,,0,,
1,908,90801,201796000000,カットキャンディナパイン,カットキャンディナパイン,,,0,1,0,,0,,
1,908,90801,201797000000,カットゴールデンパイン,カットゴールデンパイン,,,0,1,0,,0,,
1,908,90801,201798000000,カットスウィーティオパイン,カットスウィーティオパイン,,,0,1,0,,0,,
1,907,90706,201799000000,スウィーテオパイン,スウィーテオパイン,,,0,1,0,,0,,
1,908,90803,201800000000,カット小玉すいか,カット小玉すいか,,,0,1,0,,0,,
