店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,1107,110701,21100000,洋風日配,洋風日配,,,0,1,0,,0,,
1,1102,110201,49571837,ﾅﾏｸﾘｰﾑ共進,ﾅﾏｸﾘｰﾑ共進,,,0,1,0,,548,,
1,1105,110503,49633092,六甲山麓ヨーグルト,六甲山麓ヨーグルト,,,0,1,0,,130,,
1,1105,110503,49722000,R-1ﾖｰｸﾞﾙﾄ,R-1ﾖｰｸﾞﾙﾄ,,,0,1,0,,161,,
1,1105,110508,49722048,LG21ドリンクタイプ,LG21ドリンクタイプ,,,0,1,0,,151,,
1,1105,110508,49722079,R-1ﾄﾞﾘﾝｸﾖｰｸﾞﾙﾄ,R-1ﾄﾞﾘﾝｸﾖｰｸﾞﾙﾄ,,,0,1,0,,156,,
1,1105,110508,49722499,R-1ﾄﾞﾘﾝｸ低脂肪,R-1ﾄﾞﾘﾝｸ低脂肪,,,0,1,0,,156,,
1,1105,110504,49722741,LG21,LG21,,,0,1,0,,151,,
1,1105,110504,49722956,LG21　アロエ,LG21　アロエ,,,0,1,0,,151,,
1,1105,110507,49780147,豆乳ﾖｰｸﾞﾙﾄ,豆乳ﾖｰｸﾞﾙﾄ,,,0,1,0,,135,,
1,1105,110504,49789713,ジャジーヨーグルト,ジャジーヨーグルト,,,0,1,0,,146,,
1,1105,110503,49789751,ヒルゼン　ヨーグルト,ヒルゼン　ヨーグルト,,,0,1,0,,146,,
1,1105,110508,49839333,ガセリ菌ＳＰ株ドリンク,恵　ガセリ菌ＳＰ株ドリンク,ﾒｸﾞﾐｶﾞｾﾘｷﾝSPｶﾌﾞﾖ-ｸﾞﾙﾄD100,１００ｇ,0,1,105,,118,雪印メグミルク,
1,1102,110201,49854282,ﾅﾏｸﾘｰﾑ35　100　ﾀｶﾅｼ,ﾅﾏｸﾘｰﾑ35　100　ﾀｶﾅｼ,,,0,1,0,,230,,
1,1102,110202,4003490040231,ｻﾞｰﾈﾜﾝﾀﾞｰﾎｲｯﾌﾟｸﾘｰﾑ,ｻﾞｰﾈﾜﾝﾀﾞｰﾎｲｯﾌﾟｸﾘｰﾑ,,,0,1,0,,594,,
1,1105,110501,4520878200105,アトリエ　プレーンヨーグルト　,アトリエ　プレーンヨーグルト,ｱﾄﾘｴ ﾌﾟﾚ-ﾝﾖ-ｸﾞﾙﾄ 400G,４００ｇ,0,1,357,,475,アトリエ・ド・フロマージュ,
1,1105,110503,4524109011065,おこっぺ有機ＹＧ無糖,おこっぺ有機ＹＧ無糖,ﾉ-ｽPFｵｺﾂﾍﾟﾕｳｷYGｻﾄｳﾌｼﾖｳ150,１５０ｇ,0,1,0,,423,ノースプレインファーム,
1,1105,110508,4524109011072,おこっぺ有機のむヨーグルト,おこっぺ有機のむヨーグルト,ﾉ-ｽPF ｵｺﾂﾍﾟﾕｳｷﾉﾑﾖ-ｸﾞﾙﾄ180,１８０ｍｌ,0,1,0,,483,ノースプレインファーム,
1,1101,110103,4537545000111,山村牛乳　180ml,山村牛乳　180ml,,,0,1,0,,268,,
1,1101,110109,4537545000210,山村コーヒー,山村コーヒー,,,0,1,0,,287,,
1,1105,110504,4537545000401,山村ヨーグルト　,山村ヨーグルト　,ﾔﾏﾑﾗﾖｰｸﾞﾙﾄ ,９０ｍｌ,0,1,0,,287,山村乳業,
1,1105,110508,4539751113012,鳥海高原のむヨーグルト,鳥海高原のむヨーグルト,,,0,1,0,,540,,
1,1105,110508,4539751113029,鳥海のむヨーグルト１５０ｍｌ,鳥海のむヨーグルト１５０ｍｌ,ﾁﾖｳｶｲ ﾉﾑﾖ-ｸﾞﾙﾄ 150ML,１５０ｍｌ,0,1,0,,230,鳥海やわた観光,
1,1105,110508,4539751113081,鳥海高原のむヨーグルト　５００ｍｌ,鳥海高原のむヨーグルト　５０,ﾁﾖｳｶｲｺｳｹﾞﾝﾉﾑﾖ-ｸﾞﾙﾄ 500ML,５００ｍｌ,0,1,0,,504,鳥海やわた観光,
1,1105,110508,4539751113227,鳥海のむヨーグルト無糖,鳥海のむヨーグルト無糖,,,0,1,0,,228,,
1,1105,110502,4539751113241,鳥海　クリーミースイート　４００ｇ,鳥海　クリーミースイート　４,ﾁﾖｳｶｲﾔﾜﾀ ｸﾘ-ﾐ-ｽｲ-ﾄ 400G,４００ｇ,0,1,0,,468,鳥海やわた観光,
1,1105,110501,4539751113258,鳥海山さわやかプレーン,鳥海山さわやかプレーン,,,0,1,0,,468,,
1,1105,110502,4539751113265,鳥海山甘さすっきり加糖,鳥海山甘さすっきり加糖,,,0,1,0,,373,,
1,1101,110108,4560162581114,想いやり生乳,想いやり生乳,,,0,1,0,,2160,,
1,1101,110108,4560162581121,想いやり生乳720,想いやり生乳720,,,0,1,0,,7560,,
