店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,999999,999999,4582571902502,佐知ズ　ケーキ,佐知ズ　ケーキ,,,0,1,0,,1080,,
1,999999,999999,4582571902519,佐知ズ　ケーキ,佐知ズ　ケーキ,,,0,1,0,,1080,,
1,999999,999999,4582571902526,佐知ズ　ケーキ,佐知ズ　ケーキ,,,0,1,0,,1080,,
1,999999,999999,4582571902533,佐知ズ　ケーキ,佐知ズ　ケーキ,,,0,1,0,,1080,,
1,999999,999999,4582571902540,佐知ズ　ケーキ,佐知ズ　ケーキ,,,0,1,0,,1080,,
1,999999,999999,4582571902632,佐知ズ　スコーン5個入,佐知ズ　スコーン５個入,,,0,1,0,,486,,
1,999999,999999,4582571902649,佐知ズ　スコーン,佐知ズ　スコーン,,,0,1,0,,216,,
1,999999,999999,4582571902656,佐知ズ　スコーン,佐知ズ　スコーン,,,0,1,0,,216,,
1,999999,999999,4582571902663,佐知ズ　スコーン,佐知ズ　スコーン,,,0,1,0,,216,,
1,999999,999999,4582571902670,佐知ズ　スコーン,佐知ズ　スコーン,,,0,1,0,,216,,
1,999999,999999,4582571902687,佐知ズ　スコーン,佐知ズ　スコーン,,,0,1,0,,216,,
1,999999,999999,4582571902694,佐知ズ　スコーン,佐知ズ　スコーン,,,0,1,0,,216,,
1,999999,999999,4582571902700,佐知ズ　スコーン,佐知ズ　スコーン,,,0,1,0,,216,,
1,999999,999999,4582571902717,佐知ズ　スコーン,佐知ズ　スコーン,,,0,1,0,,216,,
1,999999,999999,4582571902724,佐知ズ　スコーン,佐知ズ　スコーン,,,0,1,0,,216,,
1,999999,999999,4582571902731,佐知ズ　スコーン,佐知ズ　スコーン,,,0,1,0,,216,,
1,999999,999999,4582571902748,佐知ズ　スコーン,佐知ズ　スコーン,,,0,1,0,,216,,
1,999999,999999,4582571902755,佐知ズ　スコーン,佐知ズ　スコーン,,,0,1,0,,216,,
1,999999,999999,4582571902809,佐知ズ　スコーン,佐知ズ　スコーン,,,0,1,0,,1188,,
1,999999,999999,4582571902922,佐知ズ　パウンドケーキ,佐知ズ　パウンドケーキ,,,0,1,0,,1684,,
1,999999,999999,4582571903264,佐知ズ　ケーキ,佐知ズ　ケーキ,,,0,1,0,,1674,,
1,999999,999999,4582571903318,佐知ズ　ケーキ,佐知ズ　ケーキ,,,0,1,0,,1080,,
1,999999,999999,4582571903325,佐知ズ　ケーキ,佐知ズ　ケーキ,,,0,1,0,,1599,,
1,999999,999999,4582571903332,佐知ズ　ケーキ,佐知ズ　ケーキ,,,0,1,0,,1599,,
1,999999,999999,4582571905008,佐知ズ　惣菜,佐知ズ　惣菜,,,0,1,0,,314,,
1,999999,999999,4582571905039,佐知ズ　惣菜,佐知ズ　惣菜,,,0,1,0,,486,,
1,999999,999999,4582571905091,佐知ズ　惣菜,佐知ズ　惣菜,,,0,1,0,,789,,
1,999999,999999,4582571905114,佐知ズ　惣菜,佐知ズ　惣菜,,,0,1,0,,627,,
1,999999,999999,4582571905251,佐知ズ　惣菜,佐知ズ　惣菜,,,0,1,0,,1005,,
1,999999,999999,4582571905305,佐知ズ　惣菜,佐知ズ　惣菜,,,0,1,0,,789,,
1,999999,999999,4582571905718,佐知ズ　スープ,佐知ズ　スープ,,,0,1,0,,395,,
1,999999,999999,4582571905756,佐知ズ　マッシュルーム,佐知ズ　スープ,,,0,1,0,,584,,
1,999999,999999,4582571905770,佐知ズ　スープ,佐知ズ　スープ,,,0,1,0,,395,,
1,999999,999999,4582571905794,佐知ズ　スープ,佐知ズ　スープ,,,0,1,0,,395,,
1,999999,999999,4582571905800,佐知ズ　スープ,佐知ズ　スープ,,,0,1,0,,2700,,
1,999999,999999,4901755580457,ワイン１本袋　白無地,ワイン１本袋　白無地,ﾜｲﾝ1ﾎﾝﾌｸﾛｼﾛﾑｼﾞ,,0,1,0,,100,シモジマ,
1,999999,999999,4901755590609,ワイン1本袋柄(黒),ワイン1本袋柄(黒),,,0,1,0,,200,,
1,999999,999999,4901755590623,ワイン1本袋柄(白),ワイン1本袋柄(白),,,0,1,0,,200,,
1,999999,999999,4997729011119,濃い抹茶香碧,濃い抹茶香碧,,,0,1,0,,480,,
1,999999,999999,4997729011126,抹茶映緑,抹茶映緑,,,0,1,0,,400,,
1,999999,999999,4997729011140,ほうじ茶かめうさぎ,ほうじ茶かめうさぎ,,,0,1,0,,400,,
1,999999,999999,4997729011157,玄米茶かめうさぎ,玄米茶かめうさぎ,,,0,1,0,,400,,
1,999999,999999,4997729011164,和紅茶かめうさぎ,和紅茶かめうさぎ,,,0,1,0,,400,,
