店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,2102,210201,62,カステラ,カステラ,,,0,1,0,,864,,
1,2102,210203,68,クラッシックショコラ,クラッシックショコラ,,,0,1,0,,1080,,
1,2103,210301,28800000,パティスリー,パティスリー,,,0,1,0,,0,,
1,2102,210202,71225864692,アップルパイ,アップルパイ,,,0,1,0,,280,,
1,2101,210102,202524000000,パンプディング,パンプディング,,,0,1,0,,0,,
1,2102,210203,203288000000,ベーグルのフレンチトースト,ベーグルのフレンチトースト,,,0,1,0,,0,,
1,2102,210203,4571225860022,ベリータルト,ベリータルト,,,0,1,0,,874,,
1,2101,210101,4571225860060,下鴨ぷりん,下鴨ぷりん,,,0,1,0,,350,,
1,2102,210202,4571225860107,チョコミントクッキー,チョコミントクッキー,,,0,1,0,,260,,
1,2101,210102,4571225860169,洋なしのタルト（ホール）,洋なしのタルト（ホール）,,,0,1,0,,1800,,
1,2101,210101,4571225860183,ビターチョコレートプリン,ビターチョコレートプリン,,,0,1,0,,480,,
1,2101,210101,4571225860190,三色プリン,三色プリン,,,0,1,0,,480,,
1,2103,210301,4571225860282,フレンドリースムージー,フレンドリースムージー,,,0,1,0,,750,,
1,2102,210202,4571225860299,バナナケーキ,バナナケーキ,,,0,1,0,,380,,
1,2103,210301,4571225860336,アーモンドプラリネ,アーモンドプラリネ,,,0,1,0,,400,,
1,2101,210101,4571225860343,コアントローのジュレ,コアントローのジュレ,,,0,1,0,,380,,
1,2101,210101,4571225860381,ヨーグルトスフレ,ヨーグルトスフレ,,,0,1,0,,350,,
1,2101,210101,4571225860398,宇治抹茶ロール(カット）,宇治抹茶ロール（カット）,,,0,1,0,,330,,
1,2103,210301,4571225860435,有機バナナのコンフィチュール,有機バナナのコンフィチュール,,,0,1,0,,750,,
1,2102,210202,4571225860473,エメンタールサブレ,エメンタールサブレ,,,0,1,0,,430,,
1,2102,210203,4571225860480,スパイシーラスク,スパイシーラスク,,,0,1,0,,1296,,
1,2101,210101,4571225860510,濃茶ゼリー,濃茶ゼリー,,,0,1,0,,250,,
1,2102,210202,4571225860527,自家製グラノーラ,自家製グラノーラ,,,0,1,0,,500,,
1,2102,210203,4571225860534,いちじくのコンフィチュール,いちじくのコンフィチュール,,,0,1,0,,800,,
1,2101,210101,4571225860541,パンプキンプディング,パンプキンプディング,,,0,1,0,,420,,
1,2103,210301,4571225860558,苺とブルーベリーのコンフィチュール,苺とブルーベリーのコンフィチ,,,0,1,0,,1250,,
1,2103,210301,4571225860565,苺と生姜のコンフィチュール,苺と生姜のコンフィチュール,,,0,1,0,,950,,
1,2101,210101,4571225860572,酒粕のムース,酒粕のムース,,,0,1,0,,380,,
1,2103,210301,4571225860589,シークワーサー不知火のコンフィチュール,シークワーサー不知火のコンフ,,,0,1,0,,1000,,
1,2102,210202,4571225860596,キャラメルケーキ,キャラメルケーキ,,,0,1,0,,1600,,
1,2101,210102,4571225860633,洋なしのタルト（カット）,洋なしのタルト（カット）,,,0,1,0,,480,,
1,2102,210202,4571225860640,メレンゲ（プレーン、ラズベリー）,メレンゲ（プレーン、ラズベリ,,,0,1,0,,600,,
