店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,1601,160106,1500172,さとうきび蜜抹茶と十勝あずきかき氷,さとうきび蜜抹茶と十勝あずき,,,0,1,0,,162,,
1,1601,160106,15800176,さとうきび蜜十勝小豆かき氷,さとうきび蜜十勝小豆かき氷,,,0,1,0,,162,,
1,1601,160106,22300000,アイス,アイス,,,0,1,0,,593,,
1,1601,160103,45148309,蒜山プレミアムバニラ,蒜山プレミアムバニラ,,,0,1,0,,385,,
1,1601,160103,45148323,蒜山プレミアム抹茶,蒜山プレミアム抹茶,,１２０ｍｌ,0,1,300,,385,蒜山酪農農業協同組合,
1,1601,160103,45148330,蒜山プレミアムミルク,蒜山プレミアムミルク,,１２０ｍｌ,0,1,0,,385,蒜山酪農農業協同組合,
1,1601,160103,45148347,蒜山プレミアムチョコレート,蒜山プレミアムチョコレート,,１２０ｍｌ,0,1,0,,385,蒜山酪農農業協同組合,
1,1601,160106,45227004,さとうきび蜜十勝小豆かき氷,さとうきび蜜十勝小豆かき氷,,,0,1,0,,173,,
1,1601,160106,45227011,さとうきび蜜抹茶と十勝あずきかき氷,さとうきび蜜抹茶と十勝あずき,,,0,1,0,,173,,
1,1601,160105,49177640,あずきかき氷,あずきかき氷,,,0,1,0,,162,,
1,1601,160105,49177657,抹茶あずきかき氷,抹茶あずきかき氷,,,0,1,0,,162,,
1,1601,160105,49177671,南国土佐ｼﾞﾛｰｱｲｽｸﾘﾝ,南国土佐ｼﾞﾛｰｱｲｽｸﾘﾝ,,,0,1,0,,173,,
1,1601,160105,49177688,苺アイスフロート,苺アイスフロート,,,0,1,0,,195,,
1,1601,160105,49177695,ｸﾎﾞﾀﾊﾟｲﾅｯﾌﾟﾙｼｬｰﾍﾞｯﾄ,ｸﾎﾞﾀﾊﾟｲﾅｯﾌﾟﾙｼｬｰﾍﾞｯﾄ,,,0,1,0,,206,,
1,1601,160105,49177701,チョコバナナ,チョコバナナ,,,0,1,0,,206,,
1,1601,160105,49177800,ｷｬﾗﾒﾙﾊﾞﾆﾗｶｯﾌﾟｱｲｽ,ｷｬﾗﾒﾙﾊﾞﾆﾗｶｯﾌﾟｱｲｽ,,,0,1,0,,162,,
1,1601,160105,49177817,KUBOTAの白くまくんｱｲｽｸﾘﾝ,KUBOTAの白くまくんｱｲｽｸﾘﾝ,,,0,1,0,,130,,
1,1601,160105,49177824,シロクマ黒糖アイス,シロクマ黒糖アイス,,,0,1,0,,119,,
1,1601,160105,49177831,北海あずき氷,北海あずき氷,,,0,1,0,,152,,
1,1601,160106,49177848,ゆず蜜かき氷,ゆず蜜かき氷,,,0,1,0,,162,,
1,1601,160105,49177862,ｸﾎﾞﾀﾊﾞﾆﾗｱｲｽ,ｸﾎﾞﾀﾊﾞﾆﾗｱｲｽ,,,0,1,0,,260,,
1,1601,160105,49177879,ｸﾎﾞﾀ抹茶ｱｲｽ,ｸﾎﾞﾀ抹茶ｱｲｽ,,,0,1,0,,260,,
1,1601,160105,49177886,久保田　かき氷　白蜜,かき氷　白蜜,,,0,1,0,,130,,
1,1601,160105,49177923,ほうじ茶,ほうじ茶,,,0,1,0,,281,,
1,1601,160105,49177930,黒蜜きなこ,黒蜜きなこ,,,0,1,0,,281,,
1,1601,160106,49177961,久保田　かき氷　いちご蜜　カップ　１５０ｍｌ,久保田　かき氷　いちご蜜　カ,ｸﾎﾞﾀｶｷｺﾞｵﾘｲﾁｺﾞﾐﾂｶﾂﾌﾟ150ML,１５０ｍｌ,0,1,100,,119,久保田食品,
1,1601,160105,49177992,ｸﾎﾞﾀﾗﾑﾚｰｽﾞﾝｱｲｽ,ｸﾎﾞﾀﾗﾑﾚｰｽﾞﾝｱｲｽ,,,0,1,0,,260,,
1,1601,160103,49324181,ラ・ナポリバーピスタチオ,ラ・ナポリバーピスタチオ,,,0,1,0,,324,,
1,1601,160103,49571844,共進ｱｲｽﾊﾞﾆﾗ,共進ｱｲｽﾊﾞﾆﾗ,,,0,1,0,,338,,
1,1601,160103,49571899,共進ｱｲｽ抹茶,共進ｱｲｽ抹茶,,,0,1,0,,338,,
1,1601,160103,49571929,共進ｱｲｽﾁｮｺ,共進ｱｲｽﾁｮｺ,,,0,1,0,,338,,
1,1601,160103,49571943,共進ｱｲｽ苺,共進ｱｲｽ苺,,,0,1,0,,338,,
1,1601,160103,49572056,共進ｱｲｽ丹波黒,共進ｱｲｽ丹波黒,,,0,1,0,,338,,
1,1601,160103,451448307,蒜山プレミアムバニラ,蒜山プレミアムバニラ,,,0,1,0,,385,,
1,1601,160105,4511775004736,ひがしやま,ひがしやま,,,0,1,0,,450,,
1,1601,160107,4519495000496,ニューヨーク堂　カステラアイス　８０ｇ,ニューヨーク堂　カステラアイ,ﾆﾕ-ﾖ-ｸﾄﾞｳ ｶｽﾃﾗｱｲｽ 80G,８０ｇ,0,1,0,,378,ニューヨーク堂,
1,1601,160107,4519495000502,カステラアイス抹茶,カステラアイス抹茶,,,0,1,0,,378,,
1,1601,160107,4519495000519,ニューヨーク堂　長崎カステラアイスストロベリー,ニューヨーク堂　長崎カステラ,ﾅｶﾞｻｷｶｽﾃﾗｱｲｽｽﾄﾛﾍﾞﾘ-,,0,1,0,,378,ニューヨーク堂,
1,1601,160107,4519495000557,カステラアイスコーヒー,カステラアイスコーヒー,,,0,1,0,,378,,
1,1601,160103,4529101010153,リーガロイヤルバニラ,リーガロイヤルバニラ,,,0,1,0,,324,,
1,1601,160103,4529101010207,リーガロイヤルカプチーノ,リーガロイヤルカプチーノ,,,0,1,0,,324,,
1,1601,160105,4532463001431,高知アイス　天日塩ジェラート　１１５ｍｌ,高知アイス　天日塩ジェラート,ｺｳﾁｱｲｽ ﾃﾝﾋﾟｴﾝｼﾞｴﾗ-ﾄ 115ML,１１５ｍｌ,0,1,210,,238,高知アイス,
1,1601,160105,4532463001448,高知アイス　四万十の栗アイス　１１５ｍｌ,高知アイス　四万十の栗アイス,ｺｳﾁｱｲｽ ｼﾏﾝﾄﾉｸﾘｱｲｽ 115ML,１１５ｍｌ,0,1,210,,238,高知アイス,
1,1601,160105,4532463001455,高知アイス　池川せん茶　１１５ｍｌ,高知アイス　池川せん茶　１１,ｺｳﾁｱｲｽ ｲｹｶﾜｾﾝﾁｬ 115ML,１１５ｍｌ,0,1,0,,238,高知アイス,
1,1601,160105,4532463001462,高知アイス　いのいちごアイス　１１５ｍｌ,高知アイス　いのいちごアイス,ｺｳﾁｱｲｽ ｲﾉｲﾁｺﾞｱｲｽ 115ML,１１５ｍｌ,0,1,210,,238,高知アイス,
1,1601,160105,4532463001479,土佐ジローのタマゴを使った濃厚なバニラ,土佐ジローのタマゴを使った濃,,,0,1,0,,260,,
1,1601,160105,4532463004074,しまんと紅茶ﾛｲﾔﾙﾐﾙｸﾃｨｰ,しまんと紅茶ﾛｲﾔﾙﾐﾙｸﾃｨｰ,,,0,1,0,,260,,
1,1601,160105,4532463005071,高知アイス　芋けんあいす　１００ｍｌ,高知アイス　芋けんあいす　１,ｺｳﾁｱｲｽ ｲﾓｹﾝｱｲｽ 100ML,１００ｍｌ,0,1,180,,206,高知アイス,
1,1601,160105,4532463005095,つぶつぶごはんお米アイス,つぶつぶごはんお米アイス,,,0,1,0,,238,,
1,1601,160105,4532463010068,ゆずミルクアイス,ゆずミルクアイス,,,0,1,0,,238,,
1,1601,160107,4532463111703,高知アイス　天日塩モナカ　１００ｍｌ,高知アイス　天日塩モナカ　１,ｺｳﾁｱｲｽ ﾃﾝﾋﾟｼｵﾓﾅｶ 100ML,１００ｍｌ,0,1,150,,184,高知アイス,
1,1601,160107,4532463111710,あいすくりん最中,あいすくりん最中,,,0,1,0,,184,,
1,1601,160107,4532463111727,高知アイス　土佐ジロー最中　１００ｍｌ,高知アイス　土佐ジロー最中　,ｺｳﾁｱｲｽ ﾄｻｼﾞﾛ-ﾓﾅｶ 100ML,１００ｍｌ,0,1,0,,184,高知アイス,
1,1601,160105,4532463300145,高知アイス　ミレービスケットアイス　１００ｍｌ,高知アイス　ミレービスケット,ｺｳﾁｱｲｽ ﾐﾚ-ﾋﾞｽｹﾂﾄｱｲｽ 100ML,１００ｍｌ,0,1,180,,206,高知アイス,
1,1601,160105,4532463440902,生姜アイス,生姜アイス,,,0,1,0,,238,,
1,1601,160105,4560381541449,山形食品　Ｓ＆Ｌミルクジェラートりんご　１１０ｍｌ,山形食品　Ｓ＆Ｌミルクジェラ,ﾔﾏｶﾞﾀ S&Lﾐﾙｸｼﾞｴﾗ-ﾄﾘﾝｺﾞ110,１１０ｍｌ,0,1,0,,356,山形食品,
1,1601,160105,4560381541456,山形食品　Ｓ＆Ｌミルクジェラートもも　１１０ｍｌ,山形食品　Ｓ＆Ｌミルクジェラ,ﾔﾏｶﾞﾀ S&Lﾐﾙｸｼﾞｴﾗ-ﾄﾓﾓ110ML,１１０ｍｌ,0,1,0,,356,山形食品,
1,1601,160105,4560381541463,山形食品Ｓ＆Ｌミルクジェラートらふらんす１１０ｍｌ,山形食品Ｓ＆Ｌミルクジェラー,ﾔﾏｶﾞﾀS&Lﾐﾙｸｼﾞｴﾗ-ﾄﾗﾌﾗﾝｽ110,１１０ｍｌ,0,1,0,,356,山形食品,
1,1601,160105,4560381541470,山形食品　Ｓ＆Ｌミルクジェラートぶどう　１１０ｍｌ,山形食品　Ｓ＆Ｌミルクジェラ,ﾔﾏｶﾞﾀS&Lﾐﾙｸｼﾞｴﾗ-ﾄﾌﾞﾄﾞｳ110,１１０ｍｌ,0,1,0,,356,山形食品,
1,1601,160105,4562179523019,そら琴引きの塩,丹後ジャージー　ジャージーア,ﾀﾝｺﾞ ｼﾞｬｰｼﾞｰｱｲｽ 100ML,１００ｍｌ,0,1,0,,486,丹後ジャージー牧場,
1,1601,160105,4562350951013,なかほら牧場ミルクアイス,なかほら牧場ミルクアイス,,,0,1,0,,450,,
1,1601,160105,4562350951020,なかほら牧場抹茶アイス,なかほら牧場抹茶アイス,,,0,1,0,,450,,
