店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,1506,150601,22400000,冷食,冷食,,,0,1,0,,0,,
1,1501,150101,45228566488,ディナースペアリブBBQソース味,ディナースペアリブBBQソース,,,0,1,0,,1674,,
1,1502,150201,875280000633,おめん　野菜うどん,おめん　野菜うどん,,,0,1,0,,398,,
1,1502,150205,875280000800,おめん新玉ねぎと雑穀団子のスープ,おめん新玉ねぎと雑穀団子のス,,,0,1,0,,720,,
1,1502,999999,875280000817,おめんこく旨のマッシュルームスープ,おめんこく旨のマッシュルーム,,,0,1,0,,690,,
1,1502,150205,875280000824,京生麩とかぼちゃのごま豆乳,京生麩とかぼちゃのごま豆乳,,,0,1,0,,690,,
1,1502,150205,875280000831,はんなり豚の京風サンラータン,はんなり豚の京風サンラータン,,,0,1,0,,720,,
1,1501,150110,875280000848,雑穀米入り冷や汁,雑穀米入り冷や汁,,,0,1,0,,610,,
1,1502,150205,875280000855,丹波黒どりの炙り鶏南蛮スープ,丹波黒どりの炙り鶏南蛮スープ,,,0,1,0,,720,,0
1,1502,150202,875280000862,お 京生麩はんなり豚スープ,お 京生麩はんなり豚スープ,,,0,1,0,,720,,
1,1502,150202,875280000879,お　雑穀米入り和風参鶏湯,お　雑穀米入り和風参鶏湯,,,0,1,0,,690,,
1,1502,150202,875280000886,京三味スープ　うどん入り,京三味スープ　うどん入り,,,0,1,0,,720,,
1,1502,150205,875280000909,春の香り山菜のスープ,春の香り山菜のスープ,,,0,1,0,,610,,
1,1502,150205,875280000992,かけだしとうどんだけ,かけだしとうどんだけ,,,0,1,0,,491,,0
1,1502,150202,875280001005,京の白味噌仕立て,京の白味噌仕立て,,,0,1,0,,540,,0
1,1502,150202,875280001012,聖護院蕪みぞれあんかけ,聖護院蕪みぞれあんかけ,,,0,1,0,,720,,
1,1502,150202,875280001029,スープうどんごぼう,スープうどんごぼう,,,0,1,0,,610,,
1,1502,150202,875280001036,スープうどんきのこ,スープうどんきのこ,,,0,1,0,,530,,
1,1502,150202,875280001043,スープうどんカレー,スープうどんカレー,,,0,1,0,,650,,0
1,1502,150202,875280001050,スープうどん京たぬき,スープうどん京たぬき,,,0,1,0,,650,,0
1,1502,150201,875280001067,九条ネギと国産牛のしぐれ煮,九条ネギと国産牛のしぐれ煮,,,0,1,0,,690,,
1,1502,150201,875280001074,京生麩とカボチャのごま豆乳,京生麩とカボチャのごま豆乳,,,0,1,0,,540,,
1,1502,150202,875280001081,おめん蕪と白味噌ポタージュ,おめん蕪と白味噌ポタージュ,,,0,1,0,,530,,
1,1501,150110,875280001098,京都酒蔵仕込みの粕汁,京都酒蔵仕込みの粕汁,,,0,1,0,,640,,0
1,1501,150110,875280001104,雑穀と九条ねぎのポタージュ,雑穀と九条ねぎのポタージュ,,,0,1,0,,690,,0
1,1501,150110,875280001111,京都大原産菊芋のポタージュ,京都大原産菊芋のポタージュ,,,0,1,0,,610,,
