店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,2801,280108,21700000,米,米,,,0,1,0,,0,,
1,2801,280105,4510243006012,健康志向米,健康志向米,,,0,1,0,,1420,,
1,2801,280101,4515599018863,いくた農園お米,いくた農園お米,,,0,1,0,,980,,
1,2801,280101,4535874000017,魚沼こしひかり3合,魚沼こしひかり3合,4535874000055,,0,1,0,,785,,
1,2801,280101,4535874000055,いかが紫峰米,いかが紫峰米,,,0,1,0,,725,,
1,2801,280101,4535874002127,ミルキークイーン,ミルキークイーン,,,0,1,0,,725,,
1,2801,280101,4535874004527,つや姫,つや姫,,,0,1,0,,2980,,
1,2801,280101,4535874004534,つや姫２㎏,つや姫２㎏,,,0,1,0,,2980,,
1,2801,280101,4535874010023,魚沼こしひかり２㎏,魚沼こしひかり２㎏,,,0,1,0,,3390,,
1,2801,280101,4535874050029,近江米コシヒカリ２㎏,近江米コシヒカリ２㎏,,,0,1,0,,2880,,
1,2801,280101,4571107960017,魚沼こしひかり,魚沼コシヒカリ,,,0,1,0,,6480,,
1,2801,280101,4571107960024,魚沼こしひかり,魚沼コシヒカリ,,,0,1,0,,4950,,
1,2801,280101,4571107960048,南魚沼コシヒカリ３ｋ,南魚沼コシヒカリ３ｋ,,,0,1,0,,3692,,
1,2801,280101,4571107960062,御陣乗米3kg,御陣乗米3kg,,,0,1,0,,4320,,
1,2801,280101,4571107960079,御陣乗米３kg,御陣乗米３kg,,,0,1,0,,4320,,
1,2801,280101,4571107960130,能登こしひかり,能登こしひかり,,,0,1,0,,3312,,
1,2801,280101,4571107960338,滋賀伊吹こしひかり3kg,滋賀伊吹こしひかり3kg,,,0,1,0,,2823,,
1,2801,280101,4571107960765,京丹後玄米,京丹後玄米,,,0,1,0,,2980,,
1,2801,280105,4573345490011,阿部コシヒカリ１kg,阿部コシヒカリ1kg,ｱﾍﾞｺｼﾋｶﾘ,,0,1,0,,1080,,
1,2801,280101,4573345490035,コシヒカリ　３合,コシヒカリ　３合,,,0,1,0,,680,,
1,2801,280101,4573583090028,京北米,京北米,,,0,1,0,,1280,,
1,2801,280103,4580103330625,滋賀県もち米,滋賀県産もち米,ﾊﾟ-ﾙRｼｶﾞｹﾝｻﾝﾊﾌﾞﾀｴﾓﾁ 1.4KG,１．４ｋｇ,0,1,0,,2380,パールライス滋賀,
1,2801,999999,4580295780031,近江のもち麦,近江のもち麦,,,0,1,0,,680,,
1,2801,280105,4582153870205,源泉米玄米,源泉米玄米,,,0,1,0,,2862,,
1,2801,280101,4582153870250,源泉米,源泉米,,,0,1,0,,2862,,
1,2801,280101,4582196970016,丹後こしひかり５㎏,丹後こしひかり５㎏,,,0,1,0,,6630,,
1,2801,280101,4582196970023,丹後こしひかり2k,丹後こしひかり2k,,,0,1,0,,2746,,
1,2801,280108,4589981681324,無洗米こしひかり2kg,無洗米こしひかり2kg,,,0,1,0,,3320,,
1,2801,280101,4589981681355,新潟こしひかり５㎏,新潟コシヒカリ５㎏,,,0,1,0,,6480,,
1,2801,280101,4589981682154,京丹波産コシヒカリ５㎏,京丹波産コシヒカリ５㎏,,,0,1,0,,5440,,
1,2801,280101,4589981685735,ミルキークイン5㎏,ミルキークイン５㎏,,,0,1,0,,5380,,
1,2801,280101,4589981686251,滋賀みずかがみ５㎏,滋賀みずかがみ５㎏,,,0,1,0,,4980,,
1,2801,280101,4589981686756,ハナエチゼン５㎏,ハナエチゼン５㎏,,,0,1,0,,4980,,
1,2801,280105,4589981687746,もち米,もち米,,,0,1,0,,1380,,
1,2801,280102,4589981689351,こしひかり無洗米,こしひかり無洗米,,,0,1,0,,3230,,
1,2801,280101,4589981689375,ミルキークイン５㎏,ミルキークイン５㎏,,,0,1,0,,5380,,
1,2801,280105,4945778119645,てんこもり米,てんこもり米,,,0,1,0,,1080,,
1,2801,280101,4974580372160,てんこもり米,てんこもり米,,,0,1,0,,1250,,
1,2801,280101,4986869463322,金賞健康米,金賞健康米,,,0,1,0,,1280,,
