店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,2901,290111,95891,マイヤーズラム,マイヤーズラム,,,0,1,0,,1782,,
1,2901,290107,1126853,モエ・エ・シャンドンアンぺリアル,モエ・エ・シャンドンアンぺリ,,,0,1,0,,6000,,
1,2901,290112,5176847,グランマルニエコルドンブルー　ルージュ,グランマルニエコルドンブルー,,,0,1,0,,2607,,
1,2901,290108,5826230,ブラッドオレンジヴィタヴィィーノ,ブラッドオレンジヴィタヴィィ,,,0,1,0,,880,,
1,2903,290301,22000000,酒,酒,,,0,1,0,,0,,
1,2903,290301,22100000,酒関連,酒関連,,,0,1,0,,0,,
1,2901,290106,47478619,よなよなエール,よなよなエール,,,0,1,0,,295,,
1,2901,290101,49312133,賀茂鶴ゴールド,賀茂鶴ゴールド,,,0,1,0,,638,,
1,2901,290106,49575330,一番搾り,一番搾り,,,0,1,0,,131,,0
1,2901,290106,49575484,ハ－トランド,ハ－トランド,,,0,1,0,,420,,
1,2901,290106,49575675,ギネスエクストラスタウト　壜　３３０ｍｌ,ギネスエクストラスタウト　壜,ｷﾞﾈｽｴｸｽﾄﾗｽﾀｳﾄ ﾋﾞﾝ 330ML,３３０ｍｌ,0,1,0,,332,麒麟麦酒,
1,2901,290106,49893588,スーパードライ,スーパードライ,,,0,1,0,,133,,0
1,2901,290106,50213245,ﾄﾞﾗﾌﾄｷﾞﾈｽ,ﾄﾞﾗﾌﾄｷﾞﾈｽ,,,0,1,0,,361,,0
1,2901,290106,56088168,コーラルビール,コーラルビール,,,0,1,0,,432,,
1,2901,290107,165952022,ドメーヌサンフェリック　シラー,ドメーヌサンフェリック　シラ,,,0,1,0,,1870,,
1,2901,290107,5603600138,アンダーウッド　ロゼ,アンダーウッド　ロゼ,,,0,1,0,,990,,
1,2901,290107,5919311131,シャトーデュおーマレルージュ,シャトーデュおーマレルージュ,,,0,1,0,,3630,,
1,2901,290107,81753050207,ヴーヴクリコ　イエローラベル　７５０ｍｌ,ヴーヴクリコ　イエローラベル,ｳﾞ-ｳﾞｸﾘｺ ｲｴﾛ-ﾗﾍﾞﾙ 750ML,７５０ｍｌ,0,1,0,,6671,,
1,2901,290109,82184045954,ジャック・ダニエル　ブラック　瓶　７００ｍｌ,ジャック・ダニエル　ブラック,ｼﾞﾔﾂｸﾀﾞﾆｴﾙﾌﾞﾗﾂｸ ﾋﾞﾝ 700ML,７００ｍｌ,0,1,0,,2679,,
