店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,602,60201,44,あかはた,あかはた,,,0,1,0,,0,,
1,612,61201,7907,魚屋の特選恵方巻,魚屋の特選恵方巻,,,0,1,0,,0,,
1,616,61601,29900000,鮮魚,鮮魚,,,0,1,0,,0,,
1,612,61201,9590411807,トロたく巻,トロたく巻,,,0,1,0,,0,,
1,612,61203,9593214801,うずらたまごの海鮮ちらし,鶉たまごの海鮮ちらし,,,0,1,0,,0,,
1,602,60201,20097308209,はたお造り,はたお造り,,,0,1,0,,0,,
1,612,61201,29023807984,炙り鯖寿司,炙り鯖寿司,,,0,1,0,,0,,
1,602,60201,29093003248,いとより刺身,いとよりさしみ,,,0,1,0,,0,,
1,612,61202,29105909803,ホタルイカ握り寿司,ホタルイカ握り寿司,,,0,1,0,,0,,
1,611,61106,29112012800,特選天丼盛,特選天丼盛,,,0,1,0,,0,,
1,611,61107,29126012803,特選天丼盛り合り,特選天丼盛り合り,,,0,1,0,,0,,
1,611,61107,29126309804,天丼,天丼,,,0,1,0,,0,,
1,612,61204,29148717809,海鮮巻き　いくら乗せ,海鮮巻き　いくら乗せ,,,0,1,0,,0,,
1,602,60201,29913063407,梅いろ,梅いろ,,,0,1,0,,0,,
1,602,60201,29924309808,コケノコギリ,コケノコギリ,,,0,1,0,,0,,
1,602,60209,29945216802,鱧の盛り合わせ,鱧盛合せ,,,0,1,0,,0,,
1,612,61202,29950012802,カニの握り寿司,カニの握り寿司,,,0,1,0,,0,,
1,602,60205,29962708809,活たこお造り,活たこお造り,,,0,1,0,,0,,
1,605,60502,49960012807,シ－タイガー海老,シ－タイガー海老,,,0,1,0,,0,,
1,602,60201,91120538801,ハチジョウアカムツ,ハチジョウアカムツ,,,0,1,0,,0,,
1,603,60301,99040707208,いさき切身,いさき切身,,,0,1,0,,0,,
1,603,60301,200068000000,シマさわら,シマさわら,,,0,1,0,,0,,
