店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,5002,999999,5002,ギフト箱、袋,ギフト箱、袋,,,0,1,0,,0,,0
1,5002,500203,22700000,ギフト・ラッピング,ギフト・ラッピング,,,0,1,0,,0,,
1,5003,500303,209002000000,ハイロック　本,ハイロック　本,,,0,1,0,,0,,
1,5003,500302,2100000422449,ワイン２本袋,ワイン２本袋,,,0,1,0,,160,,0
1,5003,500302,2100000446506,ワイン　1本用,ワイン　1本用,,,0,1,0,,130,,0
1,5003,500301,2100000470815,オリジナルエフバッグ,オリジナルエフバッグ,,,0,1,0,,4500,,
1,5003,500301,2100000470822,オリジナルエフバッグ（従業員）,オリジナルエフバッグ（従業員,,,0,1,0,,3800,,
1,5003,500302,2100000478736,紙袋　大,紙袋　大,,,0,1,0,,60,,0
1,5003,500302,2100000499199,花袋,花袋,,,0,1,0,,5,,
1,5003,500302,2100000504121,レジ袋　大,レジ袋　大,,,0,1,0,,10,,0
1,5003,500302,2100000504169,ピザ袋,ピザ袋,,,0,1,0,,5,,
1,5002,500201,2100000504275,ギフト箱　大,ギフト箱　大,,,0,1,0,,261,,
1,5002,500201,2100000504282,ギフト箱　小,ギフト箱　小,,,0,1,0,,229,,
1,5004,500401,2100000506835,保冷剤,保冷剤,,,0,1,0,,10,,
1,5003,500302,2100000511020,レジ袋　小,レジ袋　小,,,0,1,0,,5,,0
1,5003,500302,2100000523726,紙袋　中,紙袋　中,,,0,1,0,,40,,
1,5003,500301,2100000527717,保冷バッグ　大,保冷バッグ　大,,,0,1,0,,800,,0
1,5003,500302,2100000530625,レジ袋　中,レジ袋　中,,,0,1,0,,0,,0
1,5004,500401,2100000545612,ドライアイス,ドライアイス,,,0,1,0,,20,,
1,5003,500302,2100000568307,紙袋　小　極,紙袋　小　極,,,0,1,0,,20,,
