店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,2402,240205,49565102,バンホーテンココア,バンホーテンココア　,,,0,1,0,,618,,
1,2402,240205,49565119,バンホーテンココア,バンホーテンココア,,,0,1,0,,2470,,
1,2402,240202,24307003403,エジンバラティー,エジンバラティー,ｴｼﾞﾝﾊﾞﾗﾃｨｰ,,0,1,0,,864,,
1,2402,240202,24307003427,エジンバラ紅茶,エジンバラ紅茶,ｴｼﾞﾝﾊﾞﾗﾃｨｰ,,0,1,0,,864,,
1,2402,240202,24307003465,エジンバラ紅茶,エジンバラ紅茶,ｴｼﾞﾝﾊﾞﾗﾃｨｰ,,0,1,0,,864,,
1,2402,240202,24307003489,エジンバラ紅茶,エジンバラ紅茶,ｴｼﾞﾝﾊﾞﾗﾃｨｰ,,0,1,0,,864,,
1,2401,240102,79975150010,ライオンコーヒー　ライオンゴールド　１９８ｇ,ライオンコーヒー　ライオンゴ,ﾗｲｵﾝｺ-ﾋ- ﾗｲｵﾝｺﾞ-ﾙﾄﾞ 198G,１９８ｇ,0,1,0,,1383,,
1,2401,240102,79975150102,ライオンコーヒー,ライオンコーヒー　,ﾗｲｵﾝｺｰﾋｰ ,１９８ｇ,0,1,1500,,1383,,
1,2401,240102,79975150317,ライオンコーヒー　バニラマカダミア　１９８ｇ,ライオンコーヒー　バニラマカ,ﾗｲｵﾝｺｰﾋｰ ﾊﾞﾆﾗﾏｶﾀﾞﾐｱ 198G,１９８ｇ,0,1,1500,,1383,,
1,2401,240102,79975150478,ライオンコーヒー,ライオンコーヒー,ﾗｲｵﾝｺｰﾋｰ ﾄ-ｽﾃﾂﾄﾞｺｺﾅﾂﾂ198G,１９８ｇ,0,1,1500,,1383,,
1,2401,240102,79975150508,ライオンコーヒー　マカダミア　袋　１９８ｇ,ライオンコーヒー　マカダミア,ﾗｲｵﾝｺｰﾋｰ ﾏｶﾀﾞﾐｱ ﾌｸﾛ 198G,１９８ｇ,0,1,0,,1383,,
1,2401,240102,79975150584,ライオンコーヒー　ヘーゼルナッツ　１９８ｇ,ライオンコーヒー　ヘーゼルナ,ﾗｲｵﾝｺｰﾋ ﾍｰｾﾞﾙﾅﾂﾂ 198G,１９８ｇ,0,1,0,,1383,,
1,2401,240102,79975150591,ライオンコーヒー　オリジナルライオンＣ　１９８ｇ,ライオンコーヒー　オリジナル,ﾗｲｵﾝｺ-ﾋ-ｵﾘｼﾞﾅﾙﾗｲｵﾝｺ-ﾋ-198,１９８ｇ,0,1,0,,1383,,
1,2401,240102,79975400481,ライオンコーヒー　ホノルル283ｇ,ライオンコーヒー　ホノルル28,,,0,1,0,,1383,,
1,2405,240501,497196000000,発酵生姜飲料,発酵生姜飲料,,,0,1,0,,2139,,
1,2401,240105,604866280073,ロイヤルコナ珈琲,ロイヤルコナ珈琲,ﾛｲﾔﾙｺﾅ ﾁﾖｺﾏｶﾀﾞﾐｱﾅﾂﾂ 227G,２２７ｇ,0,1,0,,1882,,
1,2401,240105,604866280080,ロイヤルコナ珈琲,ロイヤルコナ珈琲,ﾛｲﾔﾙｺﾅｳﾞｱﾆﾗﾏｶﾀﾞﾐｱﾅﾂﾂ 227G,２２７ｇ,0,1,0,,1882,,
1,2401,240105,604866286372,ライオンコーヒー,ライオンコーヒー,,,0,1,0,,1383,,
1,2402,240201,615357111356,ヨークシャー紅茶250ｇ,ヨークシャー紅茶250ｇ,,,0,1,0,,2580,,
1,2401,240105,769167002011,マウイコーヒー　マカダミアナッツ199ｇ,マウイコーヒー　マカダミアナ,,,0,1,0,,1275,,
1,2401,240105,769167202015,マウイコーヒー　チヨコ199ｇ,マウイコーヒー　チヨコ199ｇ,,,0,1,0,,1527,,
