店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,1812,181201,200,おせち・和楽,おせち・和楽,,,0,1,0,,27000,,
1,1805,180503,201033000000,白菜のスープ,白菜のスープ,,,0,1,0,,0,,
1,1810,181001,201582000000,カニ入りピザ,カニ入りピザ,,,0,1,0,,0,,
1,1804,180401,201620000000,たたきごぼう,たたきごぼう,,,0,1,0,,0,,
1,1812,181201,202008000000,梅肉ドレッシング,梅肉ドレッシング,,,0,1,0,,0,,
1,1810,181001,202012000000,モッツァレラサーモンピザ,モッツァレラサーモンピザ,,,0,1,0,,0,,
1,1801,180106,202014000000,鮭チャーハン,鮭チャーハン,,,0,1,0,,0,,
1,1805,180503,202018000000,シーフードチャウダー,シーフードチャウダー,,,0,1,0,,348,,
1,1812,181201,202025000000,海老と帆立貝柱のコンフィ,海老と帆立貝柱のコンフィ,,,0,1,0,,0,,
1,1801,180106,202028000000,梅じゃこピラフ,梅じゃこピラフ,,,0,1,0,,0,,
1,1801,180106,202044000000,エビチャーハン,エビチャーハン,,,0,1,0,,0,,
1,1807,180702,202083000000,棒ヒレカツ,棒ヒレカツ,,,0,1,0,,0,,
1,1812,181201,202103000000,チキンカレー,チキンカレー,,,0,1,0,,0,,
1,1801,180106,202108000000,カレーピラフ,カレーピラフ,,,0,1,0,,0,,
1,1801,180106,202145000000,四川風ピリ辛チャーハン,四川風ピリ辛チャーハン,,,0,1,0,,0,,
1,1810,181001,202152000000,シーフードピザ,シーフードピザ,,,0,1,0,,0,,
1,1812,181201,202157000000,グリーンカレー,グリーンカレー,,,0,1,0,,0,,
1,1812,181201,202189000000,高菜じゃこピラフ,高菜じゃこピラフ,,,0,1,0,,0,,
1,1809,180901,202191000000,玉子サンド,玉子サンド,,,0,1,0,,0,,
1,1805,180503,202358000000,ビーフカレー,ビーフカレー,,,0,1,0,,0,,
1,1805,180504,202514000000,ローストポーク,ローストポーク,,,0,1,0,,0,,
1,1809,180902,202517000000,ディル入りポテトサラダとサーモンのサンド,ディル入りポテトサラダとサーモンのサンド,,,0,1,0,,0,,
1,1809,180902,202519000000,カレーキャベツホットドック,カレーキャベツホットドック,,,0,1,0,,0,,
1,1812,181201,202520000000,ポテトと挽肉のチーズ焼き,ポテトと挽肉のチーズ焼き,,,0,1,0,,0,,
1,1801,180106,202522000000,シーフードピラフ,シーフードピラフ,,,0,1,0,,0,,
1,1812,181201,202523000000,煮込みハンバーグ,煮込みハンバーグ,,,0,1,0,,0,,
1,1812,181201,202558000000,グラタン,グラタン,,,0,1,0,,0,,
1,1809,180901,202565000000,エビカツサンド,エビカツサンド,,,0,1,0,,0,,
1,1808,180802,202566000000,温野菜,温野菜,,,0,1,0,,0,,
1,1808,180802,202567000000,グリーンサラダ（エビ）,グリーンサラダ（エビ）,,,0,1,0,,0,,
1,1808,180802,202568000000,グリーンサラダ（サーモン）,グリーンサラダ（サーモン）,,,0,1,0,,0,,
1,1808,180802,202569000000,グリーンサラダ（蒸し鶏）,グリーンサラダ（蒸し鶏）,,,0,1,0,,0,,
1,1801,180106,202570000000,和風チャーハン,和風チャーハン,,,0,1,0,,0,,
1,1812,181201,202571000000,キッシュ,キッシュ,,,0,1,0,,0,,
1,1812,181201,202572000000,ラザニア,ラザニア,,,0,1,0,,0,,
1,1812,181201,202574000000,シーフードカレー,シーフードカレー,,,0,1,0,,0,,
1,1803,180302,202577000000,ペペロンチーノ,ペペロンチーノ,,,0,1,0,,0,,
1,1812,181201,202591000000,ラタトューユの温泉玉子のせ,ラタトューユの温泉玉子のせ,,,0,1,0,,0,,
1,1803,180302,202611000000,トマトとバジルの冷製パスタ,トマトとバジルの冷製パスタ,,,0,1,0,,0,,
1,1812,181201,203102000000,鯛のマリネ,鯛のマリネ,,,0,1,0,,0,,
1,1812,181201,203202000000,韓国風ちぢみ,韓国風ちぢみ,,,0,1,0,,0,,
1,1809,180901,203212000000,ツナサンド,ツナサンド,,,0,1,0,,0,,
1,1809,180901,203213000000,ツナ野菜サンド,ツナ野菜サンド,,,0,1,0,,0,,
1,1809,180901,203226000000,トンカツサンド,トンカツサンド,,,0,1,0,,0,,
1,1809,180901,203250000000,ハムサンド,ハムサンド,,,0,1,0,,0,,
1,1809,180901,203251000000,ハム野菜サンド,ハム野菜サンド,,,0,1,0,,0,,
1,1809,180901,203253000000,ハムチーズサンド,ハムチーズサンド,,,0,1,0,,0,,
1,1812,181201,203277000000,豚肉の黒酢がらめ,豚肉の黒酢がらめ,,,0,1,0,,0,,
1,1804,180404,203290000000,煮豚(ブロック),煮豚(ブロック),,,0,1,0,,0,,
1,1804,180404,203291000000,煮豚(スライス),煮豚(スライス),,,0,1,0,,0,,
1,1812,181201,203300000000,ホワイトソース,ホワイトソース,,,0,1,0,,0,,
1,1809,180901,203308000000,ミックスサンド,ミックスサンド,,,0,1,0,,0,,
1,1807,180702,203314000000,和牛メンチカツ,和牛メンチカツ,,,0,1,0,,0,,
1,1812,181201,203318000000,むしどり,むしどり,,,0,1,0,,0,,
1,1801,180106,203329000000,焼き飯,焼き飯,,,0,1,0,,0,,
1,1812,181201,203335000000,ローズマリーチキン,ローズマリーチキン,,,0,1,0,,0,,
1,1812,181201,203336000000,ロールキャベツ,ロールキャベツ,,,0,1,0,,0,,
1,1809,180901,203344000000,スモークサーモンとチーズ野菜サンド,スモークサーモンとチーズ野菜サンド,,,0,1,0,,0,,
1,1801,180101,203348000000,特上ロース弁当(北山),特上ロース弁当(北山),,,0,1,0,,0,,
1,1801,180101,203349000000,特上カルビ弁当(北山),特上カルビ弁当(北山),,,0,1,0,,0,,
1,1814,181402,203350000000,弁当(エヴァンタイユ),弁当(エヴァンタイユ),,,0,1,0,,0,,
1,1801,180101,203352000000,武蔵弁当(北山),武蔵弁当(北山),,,0,1,0,,2700,,
1,1801,180106,203353000000,牛肉ピラフ,牛肉ピラフ,,,0,1,0,,0,,
1,1810,181001,203354000000,ベーコンピザ,ベーコンピザ,,,0,1,0,,0,,
1,1801,180101,203355000000,タン焼肉弁当(北山),タン焼肉弁当(北山),,,0,1,0,,0,,
1,1801,180101,203551000000,ステーキ弁当(北山),ステーキ弁当,,,0,1,0,,3456,,
1,1812,181201,203581000000,チキンときのこのトマト煮込み,チキンときのこのトマト煮込み,,,0,1,0,,0,,
1,1812,181201,204032000000,ローストビーフのタレ,ローストビーフのタレ,,,0,1,0,,0,,
1,1809,180902,204033000000,クロック・ムッシュ,クロック・ムッシュ,,,0,1,0,,0,,
1,1812,181201,204107000000,じゃがいものグラタン,じゃがいものグラタン,,,0,1,0,,0,,
