店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,301,30102,206073000000,銘特高原鶏ムネ炒め用,銘特高原鶏ムネ炒め用,,,0,1,0,,0,,
1,301,30110,206097000000,銘特高原鶏皮,銘特高原鶏皮,,,0,1,0,,0,,
1,301,30109,206145000000,肉屋のささみカツ,肉屋のささみカツ,,,0,1,0,,0,,
1,305,999999,206161000000,お肉屋さんのお惣菜,お肉屋さんのお惣菜,,,0,1,0,,0,,
1,301,30109,206175000000,鶏飯,鶏飯,,,0,1,0,,0,,
1,301,30110,206181000000,焼き鳥,焼き鳥,,,0,1,0,,0,,
1,301,30109,206311000000,手羽先チャーシュー,手羽先チャーシュー,,,0,1,0,,0,,
1,301,30101,206320000000,ついてる値段でおねがいします,ついてる値段でおねがいします,,,0,1,0,,0,,
1,304,30402,206408000000,鴨ローススライス,鴨ローススライス,,,0,1,0,,0,,
1,304,30402,206409000000,鴨ロースブロック,鴨ロースブロック,,,0,1,0,,0,,
1,301,30104,206412000000,銘特高原鶏　手羽元,銘特高原鶏　手羽元,,,0,1,0,,0,,
1,303,30301,206502000000,長州黒鶏モモ肉,長州黒鶏モモ肉,,,0,1,0,,0,,
1,305,30501,206801000000,焼鳥のタレ,焼鳥のタレ,,,0,1,0,,0,,
1,305,30501,206810000000,コラーゲン白湯,コラーゲン白湯,,,0,1,0,,0,,
1,305,30501,206999000000,黒かしわ,黒かしわ,,,0,1,0,,0,,
1,305,30501,208311000000,フォアグラ,フォアグラ,,,0,1,0,,0,,
1,301,30109,208317000000,手羽元チャーシュー,手羽元チャーシュー,,,0,1,0,,0,,
1,302,30201,232064000000,活けかしわモモ肉,活けかしわモモ肉,,,0,1,0,,0,,
1,302,30202,232065000000,活けかしわムネ肉,活けかしわムネ肉,,,0,1,0,,0,,
1,302,30203,232066000000,活けかしわささみ,活けかしわささみ,,,0,1,0,,0,,
1,302,30201,232069000000,活けかしわモモすき焼用,活けかしわモモすき焼用,,,0,1,0,,0,,
1,302,30202,232070000000,活けかしわムネすき焼用,活けかしわムネすき焼用,,,0,1,0,,0,,
1,302,30201,232071000000,活けかしわ骨付きモモ,活けかしわ骨付きモモ,,,0,1,0,,0,,
1,302,30202,232072000000,活けかしわムネ炒め用,活けかしわムネ炒め用,,,0,1,0,,0,,
1,302,30201,232075000000,活けかしわモモ水煮唐揚げ用,活けかしわモモ水煮唐揚げ用,,,0,1,0,,0,,
1,302,30202,232076000000,活けかしわムネ水煮唐揚げ用,活けかしわムネ水煮唐揚げ用,,,0,1,0,,0,,
1,302,30210,232077000000,活けかしわせせり,活けかしわせせり,,,0,1,0,,0,,
1,302,30210,232078000000,活けかしわ丸鶏,活けかしわ丸鶏,,,0,1,0,,0,,
1,302,30210,232081000000,活けかしわの皮,活けかしわの皮,,,0,1,0,,0,,
1,302,30206,232082000000,活けかしわココロ（ハツ）,活けかしわココロ（ハツ）,,,0,1,0,,0,,
1,302,30210,232084000000,鶏スープ用ガラ,鶏スープ用ガラ,,,0,1,0,,0,,
1,302,30209,232085000000,活けかしわ焼鳥用,活けかしわ焼鳥用,,,0,1,0,,0,,
1,302,30205,232086000000,活けかしわ手羽先,活けかしわ手羽先,,,0,1,0,,0,,
1,302,30201,232088000000,活けかしわ骨付きモモぶつ切り,活けかしわ骨付きモモぶつ切り,,,0,1,0,,0,,
1,302,30206,232089000000,活けかしわレバー,活けかしわレバー,,,0,1,0,,0,,
1,302,30207,232090000000,活けかしわ砂ギモ,活けかしわ砂ギモ,,,0,1,0,,0,,
1,301,30102,232091000000,銘特高原鶏ムネ肉,銘特高原鶏ムネ肉,,,0,1,0,,0,,
1,301,30102,232092000000,銘特高原鶏ムネすき焼き用,銘特高原鶏ムネすき焼き用,,,0,1,0,,0,,
1,301,30102,232093000000,銘特高原鶏ムネ水煮唐揚用,銘特高原鶏ムネ水煮唐揚用,,,0,1,0,,0,,
1,301,30101,232094000000,銘特高原鶏モモ肉,銘特高原鶏モモ肉,,,0,1,0,,0,,
1,301,30101,232095000000,銘特高原鶏モモすき焼き用,銘特高原鶏モモすき焼き用,,,0,1,0,,0,,
1,301,30101,232096000000,銘特高原鶏モモ水煮唐揚用,銘特高原鶏モモ水煮唐揚用,,,0,1,0,,0,,
1,301,30101,232097000000,銘特高原鶏モモ親子丼/炊込みご飯用,銘特高原鶏モモ親子丼/炊込みご飯用,,,0,1,0,,0,,
1,301,30108,232128000000,鶏ミンチ,鶏ミンチ,,,0,1,0,,0,,
1,301,30103,232410000000,銘特高原鶏ささみ,銘特高原鶏ささみ,,,0,1,0,,0,,
1,301,30105,232411000000,銘特高原鶏手羽先,銘特高原鶏手羽先,,,0,1,0,,0,,
1,301,30101,232413000000,銘特高原鶏骨付きモモ,銘特高原鶏骨付きモモ,,,0,1,0,,0,,
1,301,30101,232415000000,銘特高原鶏焼鳥用,銘特高原鶏焼鳥用,,,0,1,0,,0,,
1,305,30501,232503000000,長州黒鶏モモ水炊き唐揚用,長州黒鶏モモ水炊き唐揚用,,,0,1,0,,0,,
1,305,30501,232504000000,長州黒鶏焼鳥用,長州黒鶏焼鳥用,,,0,1,0,,0,,
1,305,30501,232505000000,長州黒鶏骨付きモモ,長州黒鶏骨付きモモ,,,0,1,0,,0,,
1,305,30501,406186000000,肉屋の鶏モモ唐揚げ,肉屋の鶏モモ唐揚げ,,,0,1,0,,0,,
1,302,30209,406225000000,肉屋の唐揚げ（かつおだし）,肉屋の唐揚げ（かつおだし）,,,0,1,0,,0,,
1,302,30209,406226000000,肉屋の唐揚げ（キムチ）,肉屋の唐揚げ(キムチ),,,0,1,0,,0,,
1,302,30209,406227000000,肉屋の唐揚げ（柚子胡椒）,肉屋の唐揚げ（柚子胡椒）,,,0,1,0,,0,,
1,302,30209,406228000000,肉屋の唐揚げ（花椒）,肉屋の唐揚げ（花椒）,,,0,1,0,,0,,
1,305,30501,406237000000,肉屋の鶏ささみカツ,肉屋の鶏ささみカツ,,,0,1,0,,348,,
1,305,30501,406320000000,ついてる値段でおねがいします,ついてる値段でおねがいします,,,0,1,0,,0,,
1,304,999999,406409000000,鴨ロース　ブロック,鴨ロース　ブロック,,,0,1,0,,0,,
1,305,30501,406810000000,コラーゲン白湯,コラーゲン白湯,,,0,1,0,,360,,
1,302,30210,432085000000,活けかしわ　たまひも,活けかしわ　たまひも,,,0,1,0,,0,,
