店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,1405,140506,58,亀蔵　甘酢千枚漬,亀蔵　甘酢千枚漬,,,0,1,0,,486,,
1,1414,141401,21000000,和風日配,和風日配,,,0,1,0,,0,,
1,1403,140301,49118018,酒田納豆　３Ｐ,酒田納豆　３Ｐ,,,0,1,0,,249,,
1,1405,140512,453018000000,ほし山ＧＡＢＡキムチ,ほし山ＧＡＢＡキムチ,,,0,1,0,,430,,
1,1414,141401,459505000000,だしの余韻のぶり大根,だしの余韻のぶり大根,,,0,1,0,,584,,
1,1408,140813,2100000414956,にしん棒煮　尾張屋,にしん棒煮　尾張屋,,,0,1,0,,702,,
1,1411,141105,4510582917048,純米吟醸粕上喜元,純米吟醸粕上喜元,,,0,1,0,,416,,
1,1404,140406,4513389051632,だし酢醤油ところてん,だし酢醤油ところてん　,ﾀﾞｼｽｼｮｳﾕﾄｺﾛﾃﾝｼｮｳﾕ 185G,１８５ｇ,0,1,240,,314,銚子屋,
1,1404,140406,4513389051649,黒みつ付ところてん　,黒みつ付ところてん　,ﾁﾖｳｼﾔ ｸﾛﾐﾂﾂｷﾄｺﾛﾃﾝ 190G,１９０ｇ,0,1,240,,314,銚子屋,0
1,1408,140809,4515989001529,ふかひれラーメン,ふかひれラーメン,,,0,1,0,,986,,0
1,1408,140809,4515989001536,ふかひれ塩ラーメンXO,ふかひれ塩ラーメンXO,,,0,1,0,,986,,
1,1412,141201,4516133000122,大珍楼エビ蒸しギョーザ,大珍楼エビ蒸しギョーザ,,,0,1,0,,972,,0
1,1412,141201,4516133000139,フカヒレ入り蒸しギョーザ,フカヒレ入り蒸しギョーザ,,,0,1,0,,972,,0
1,1412,141201,4516133000146,ニラ入りエビ蒸しギョーザ,ニラ入りエビ蒸しギョーザ,,,0,1,0,,972,,0
1,1412,141203,4516133000450,大珍楼　豚まん,大珍楼　豚まん,ﾀﾞｲﾁﾝﾛｳ ﾌﾞﾀﾏﾝ,,0,1,0,,648,大珍食品公司,0
1,1412,141203,4516133000467,大珍楼チャーシューまん,大珍楼チャーシューまん,ﾀﾞｲﾁﾝﾛｳ ﾁﾔ-ｼﾕ-ﾏﾝ,,0,1,0,,648,大珍食品公司,
1,1412,141202,4516133000528,大珍楼ポークシューマイ,大珍楼ポークシューマイ,,,0,1,0,,756,,
1,1412,141203,4516133000610,大珍楼エビマヨまん,大珍楼エビマヨまん,ﾀﾞｲﾁﾝﾛｳ ｴﾋﾞﾏﾖﾏﾝ,,0,1,0,,648,大珍食品公司,
1,1408,140811,4517870003025,ぴょん２盛岡冷麺,ぴょん２盛岡冷麺,,,0,1,0,,972,,0
1,1413,141307,4517870040037,鍋スープキムチチゲ味　,鍋スープキムチチゲ味　,ﾊﾂｺｳｼﾞﾕｸｾｲﾁｹﾞｽ-ﾌﾟｷﾑﾁ 650G,６５０ｇ,0,1,0,,648,中原商店,
1,1413,141307,4517870040044,鍋スープみそチゲ,鍋スープみそチゲ,,,0,1,0,,648,,
1,1414,141401,4518580200445,極バイ貝茶碗蒸し,極バイ貝茶碗蒸し,,,0,1,0,,453,,
1,1405,140506,4519338001154,大安　千枚漬,大安　千枚漬,,,0,1,0,,788,,0
1,1405,140506,4519338001239,大安　別樽仕込み千枚漬,大安　別地込み千枚漬,,,0,1,0,,1080,,
