店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,803,80304,1,青葱,青葱,,,0,1,0,,248,,
1,803,80317,2,ターサイ,ターサイ,,,0,1,0,,198,,
1,808,80809,3,にんにくの芽,にんにくの芽,,,0,1,0,,98,,
1,803,80307,4,にら,にら,,,0,1,0,,148,,
1,803,80301,5,ほうれん草,ほうれん草,,,0,1,0,,298,,
1,803,80317,11442,碧玉筍,碧玉筍,,,0,1,0,,398,,
1,811,81101,20100000,野菜,野菜,,,0,1,0,,0,,
1,808,80805,45067303,SB　セルバチコ,SB　セルバチコ,,４０ｇ,0,1,0,,260,ヱスビー食品,0
1,808,80805,49181494,エスビ－　レモングラス,エスビ－　レモングラス,ｴｽﾋﾞ- ﾚﾓﾝｸﾞﾗｽ,レモングラス,0,1,0,,200,ヱスビー食品,
1,808,80805,49567977,バジル,バジル,,２５ｇ,0,1,200,,220,ヱスビー食品,0
1,808,80805,49567984,チャービル,チャービル,,１５ｇ,0,1,200,,220,ヱスビー食品,0
1,808,80805,49567991,スペアミント,スペアミント,,１４ｇ,0,1,160,,200,ヱスビー食品,
1,808,80805,49568004,ＳＢ　ペパーミント　,ＳＢ　ペパーミント　,,１５ｇ,0,1,200,,200,ヱスビー食品,
1,808,80805,49568011,イタリアンパセリ,イタリアンパセリ,,１４ｇ,0,1,160,,220,ヱスビー食品,0
1,808,80805,49568028,ディル,ディル,,１５ｇ,0,1,160,,220,ヱスビー食品,0
1,808,80805,49568035,タイム,タイム,,１５ｇ,0,1,200,,200,ヱスビー食品,0
1,808,80805,49568042,ＳＢ　セージ　１５ｇ,ＳＢ　セージ　１５ｇ,SB ｾ-ｼﾞ 15G,１５ｇ,0,1,200,,200,ヱスビー食品,
1,808,80805,49568097,ローズマリー,ローズマリー,,スパイス１８ｇ,0,1,200,,220,ヱスビー食品,0
1,808,80805,49568110,フレンチタラゴン,フレンチタラゴン,,１５ｇ,0,1,240,,300,ヱスビー食品,0
1,808,80805,49568127,ＳＢ　オレガノ,ＳＢ　オレガノ,,１５ｇ,0,1,240,,280,ヱスビー食品,0
1,808,80805,49568141,ＳＢ　レモンバーム,ＳＢ　レモンバーム,,４２ｇ,0,1,180,,200,ヱスビー食品,
1,808,80808,49708028,かいわれ　Ｌポット　５０ｇ,かいわれ　Ｌポット　５０ｇ,,５０ｇ,0,1,0,,68,村上農園,
1,801,80108,49793048,丸豊　レッドキャベツの新芽　１Ｐ,丸豊　レッドキャベツの新芽　,ﾏﾙﾄﾖ ﾚｯﾄﾞｷｬﾍﾞﾂﾉｼﾝﾒ 1P,１Ｐ,0,1,0,,98,丸豊産業,
1,801,80108,49793055,丸豊　マスタードの新芽　１Ｐ,丸豊　マスタードの新芽　１Ｐ,ﾏﾙﾄﾖ ﾏｽﾀ-ﾄﾞﾉｼﾝﾒ 1P,１Ｐ,0,1,0,,98,丸豊産業,
1,801,80108,49793086,ルッコラの新芽,ルッコラの新芽,,,0,1,0,,98,,
1,811,81102,1302327802,お供えセット（大）,お供えセット（大）,,,0,1,0,,0,,
1,802,80208,200004000000,きゅうり,きゅうり,,,0,1,0,,0,,
1,805,80507,200231000000,長芋,長芋,,,0,1,0,,0,,
1,806,80609,200552000000,生落花生,生落花生,,,0,1,0,,0,,
1,802,80205,200553000000,パプリカ（ガブリエル）,パプリカ（ガブリエル）,,,0,1,0,,258,,
1,802,80205,200554000000,パプリカ（ガブリエル）,パプリカ（ガブリエル）,,,0,1,0,,0,,
1,801,80102,201001000000,キャベツ,キャベツ,,,0,1,0,,0,,
1,801,80101,201002000000,レタス,レタス,,,0,1,0,,0,,
1,803,80315,201003000000,白菜,白菜,,,0,1,0,,0,,
1,802,80209,201005000000,茄子,茄子,,,0,1,0,,0,,
1,802,80201,201006000000,トマト,トマト,,,0,1,0,,0,,
1,805,80503,201007000000,玉葱,玉葱,,,0,1,0,,0,,
1,805,80501,201008000000,馬鈴薯,馬鈴薯,,,0,1,0,,0,,
1,805,80502,201009000000,メークイン,メークイン,,,0,1,0,,0,,
1,807,80702,201011000000,えのき,えのき,,,0,1,0,,0,,
1,807,80703,201013000000,しめじ,しめじ,,,0,1,0,,0,,
1,803,80307,201014000000,にら,にら,,,0,1,0,,0,,
1,808,80801,201015000000,大葉,大葉,,,0,1,0,,0,,
1,802,80205,201016000000,ピーマン,ピーマン,,,0,1,0,,0,,
1,802,80206,201017000000,青唐,青唐,,,0,1,0,,0,,
1,804,80403,201018000000,ごぼう,ごぼう,,,0,1,0,,0,,
1,804,80402,201019000000,洋人参,洋人参,,,0,1,0,,0,,
1,804,80402,201020000000,金時人参,金時人参,,,0,1,0,,0,,
1,802,80211,201021000000,オクラ,オクラ,,,0,1,0,,0,,
1,803,80304,201022000000,青ねぎ,青ねぎ,,,0,1,0,,0,,
1,803,80316,201023000000,白葱,白葱,,,0,1,0,,0,,
1,803,80317,201024000000,ワケギ,ワケギ,,,0,1,0,,0,,
1,803,80304,201025000000,万能ネギ,万能ネギ,,,0,1,0,,0,,
1,804,80401,201026000000,大根,大根,,,0,1,0,,0,,
