店舗コード,小分類コード,クラスコード,商品コード,商品名,レジ名,カナ名,規格,税コード,税タイプ,標準小売価格,売価(税抜き),売価(税込み),メーカー名,カテゴリコード
1,3002,300201,351734,ストロー,ストロー,ｽﾄﾛｰ,,0,1,0,,160,,
1,3005,300501,20700000,雑貨,雑貨,,,0,1,0,,0,,
1,3005,300501,21900000,雑貨,雑貨,,,0,1,0,,0,,
1,3004,300401,49860221,糸ようじ,糸ようじ,,,0,1,0,,225,,
1,3003,300302,2520010026,久田シャンプー詰め替え,久田シャンプー詰め替え,,,0,1,0,,7900,,
1,3002,300201,12587704417,グラッド プレス&シール,グラッド プレス&シール,,,0,1,0,,1680,,0
1,3003,300303,18787782057,マジックソープバー　ベビーマイルド　１４０ｇ,マジックソープバー　ベビーマ,ﾏｼﾞｯｸｿｰﾌﾟﾊﾞｰ ﾍﾞﾋﾞｰﾏｲ 140g,１４０ｇ,0,1,840,,924,,
1,3003,300303,18787788059,マジックソープバー　ローズ　１４０ｇ,マジックソープバー　ローズ　,ﾏｼﾞｯｸｿｰﾌﾟﾊﾞｰ ﾛｰｽﾞ 140g,１４０ｇ,0,1,840,,924,,
1,3003,300303,18787791059,マジックソープバー,マジックソープバー,,,0,1,0,,924,,
1,3004,300404,18787912027,バーム　ローズ,バーム　ローズ,,,0,1,0,,990,,
1,3004,300404,18787912034,ベビーマイルドバーム,ベビーマイルドバーム,,,0,1,0,,990,,
1,3004,300404,18787912041,シトラスオレンジバーム,シトラスオレンジバーム,,,0,1,0,,972,,
1,3004,300404,18787912058,ラベンダーバーム,ラベンダーバーム,,,0,1,0,,990,,
1,3004,300404,18787912072,バーム チェリーブロッサム ,バーム チェリーブロッサム ,,,0,1,0,,990,,
1,3004,300404,18787920039,マジックオーガニック　リップバウム,マジックオーガニック　リップ,ﾏｼﾞｯｸｵｰｶﾞﾆｯｸ ﾘｯﾌﾟﾊﾞｳ,,0,1,0,,610,,
1,3004,300404,18787920053,オーガニツクリツプバーム　Ｒ,オーガニツクリツプバーム　Ｒ,ｵ-ｶﾞﾆﾂｸﾘﾂﾌﾟﾊﾞ-ﾑ R,,0,1,0,,610,,
